sku;departamento;seccion;familia
HC1BSLINEN;2;1;5
HC1BSPETROL;2;1;5
HC1BSWHITE;2;1;5
COT232ZBLACK;2;1;6
COT232ZSILVER;2;1;6
FJ201BLACK;2;1;2
SH504GREY;2;1;6
SH13SSBLACK;2;1;1
FJSH103WHITE;2;1;1
CNM440BLACK;2;1;3
CNM440WHITE;2;1;3
JK502TSWHITE;2;1;6
TR143MBLACK;2;1;5
JK223ABLACK;2;1;6
JK502BLACK;2;1;6
JK502SILK;2;1;6
COT501GOLD;2;1;6
COT501BLACK;2;1;6
FLKCN1WHITE;2;1;3
HC1BSBLACK;2;1;5
COT504GOLD;2;1;7
COT504BLACK;2;1;6
JK123BLACK;2;1;6
ML5C7SUN;4;3;1
ML6C5SUN;4;3;1
ML6C6SUN;4;3;1
ML6C7SUN;4;3;1
MS86LINEN;2;1;3
KM203DYBLACK;2;1;3
HCU1BLACK;2;1;5
HCU1LINEN;2;1;5
HCU1PETROL;2;1;5
HCU2BITTER;2;1;5
HCU2BLACK;2;1;5
HCU2WHITE;2;1;5
HC2BMILITARY;2;1;5
TR140SGREY;2;1;5
HC4MILITARY;2;1;5
IP6002BLUE;4;1;4
IP6002PINK;4;1;4
SW136BLACK;1;1;3
TP659GREYMARL;1;1;2
KN1401BNPINK;1;1;3
KN1423BNYELLOW;1;1;3
KN1429BNYELLOW;1;1;3
KN1457SFTPINK;1;1;5
KN1414SFTPINK;1;1;3
AJ698BLACKYELL;1;3;5
AJ665WHITE;1;3;1
AJ664WHITE;1;3;5
AJ006BLACK;1;3;2
AJ006BLUE;1;3;2
AJ006KHAKI;1;3;2
1010DH82018065X;1;4;1
1013DC33212189X;1;4;4
1001DS28018065X;1;4;1
1010DH15217235X;1;4;1
1010DH44018234X;1;4;1
1013DC25212236X;1;4;4
1001DX17132232X;1;4;1
1294DX04013236X;1;4;5
1291EC24204075X;1;4;4
1291EC20018065X;1;4;4
1343SK05018189X;4;4;5
1343SK03018189X;4;4;5
1343SK02018189X;4;4;5
1343SK06018189X;4;4;5
1343SK04018189X;4;4;5
BG02049857650;1;2;3
BG02045855004;1;2;3
BG02045855800;1;2;3
B57DENIM;1;1;4
B40DENIM;1;1;7
B57WHITE;1;1;4
B18DENIM;1;1;6
B39DENIM;1;1;7
B95DENIM;1;1;1
B96DENIM;1;1;1
B38PINK;1;1;7
B200BLUE;1;1;2
B36BLUE;1;1;7
B22BLUE;1;1;6
B24BLUE;1;1;6
B52BLUE;1;1;9
B31SILVER;1;1;7
B31GOLD;1;1;7
B94GIALLO;1;1;1
B20BLUE;1;1;6
B304SILVER;1;1;5
B304BLUE;1;1;5
B304GOLD;1;1;5
B300WHITE;1;1;5
B200BISBLUE;1;1;2
FILIPPAMINIBROW;1;4;1
FILIPPABLUE;1;4;1
CAROLINEMULTI;1;4;1
CAROLINEBLACK;1;4;1
CAROLINEYELLOW;1;4;1
CAROLINEFUCSIA;1;4;1
FILIPPAMINIWHIT;1;4;1
WFM61BLUE;1;1;4
AATERESTRIPES;1;1;3
WJ01CREDWHIT;1;1;4
WD12BREDWHIT;1;1;6
WD27APINKREDBL;1;1;6
WD24BPINKREDBL;1;1;6
WG08EPINKREDBL;1;1;7
WD17CNAVY;1;1;6
WG08BNAVY;1;1;7
WG08BWHITE;1;1;7
WD41CNAVY;1;1;6
WD19CNAVY;1;1;6
CAP-FAB-002 BLK;1;2;2
15045BLACK;1;1;4
15018PINKBLACK;1;1;1
15027PINKBLACK;1;1;2
SL963NVNFRBCOC;1;3;4
SL963NVNFRNWOC;1;3;4
SR043HVEA141OC;1;3;4
090V 022;4;3;
CENTURY 385;4;3;
0811LE GBR;4;3;
1005BSP DG;4;3;
1054DT GBR;4;3;
1055S ZUGN;4;3;
1058B DG;4;3;
1058DT GBR;4;3;
AA004;4;3;
AA001;4;3;
MI002;4;3;
BIJOU;4;1;1
ODLR11C1SUN;4;3;1
ODLR11C5SUN;4;3;1
14085 25822-;4;5;2
SLN002 600H41;4;3;
AMBASSADOR 2005;4;3;1
LUBJ100;4;1;1
LU40100;4;1;1
F2FJNL06;1;5;5
W12WHRG01;1;5;7
S2FDER03;1;5;4
CSF107;4;4;4
CSF71;4;4;4
6030943;4;1;16
6011188;4;1;16
6011423;4;1;16
603023;4;1;16
MACHONE 2030B;4;3;2
MACHTWO 2031B;4;3;2
1249611;4;5;3
1249612;4;5;3
1249613;4;5;3
1249614;4;5;3
1249615;4;5;3
1249616;4;5;3
1249617;4;5;3
JP110;1;5;4
CCVMPPS;4;1;1
CCVWPPS;4;1;1
JP1010;1;5;4
4220 CHRONO C/G;4;2;1
RABITO BGOLD;4;1;4
RABITO BSILVER;4;1;4
RABITO BBLACK;4;1;4
SUMO;1;3;5
LUND;1;3;2
JEM*;1;4;4
SUMO*;1;3;5
BH02;1;5;2
BH01;1;5;2
BH04;1;5;2
NK01;1;5;5
NK03;1;5;5
HP01;1;5;4
7156NR;1;5;5
7398NPGC;1;5;5
7398NPGH;1;5;5
7482N3M;1;5;5
7483NBT;1;5;5
7738NBR;1;5;5
7738NRB;1;5;5
8062NSG;1;5;5
8088BRB;1;5;1
8088BWR-;1;5;1
8490NB--;1;5;5
9041NT;1;5;5
DIOR2345-41;4;3;1
FERRARI F18-524;4;3;
FERRARI F18-586;4;3;
JAGUAR 717-210;4;3;
OMO102 BLK/GLD;4;3;1
SQUARE BLK/CLEA;4;3;1
STATUS SMOKE;4;3;1
STATUS BLACK;4;3;1
CU2GLM31972;4;5;1
CU89CO01396;4;5;1
CUGLM31972;4;5;1
CU21LM31972;4;5;1
VBS1C20 IRIS;4;3;1
DPD1167 D411;1;1;5
I19520;4;1;1
I48510;4;1;1
VE2144 10028G;4;3;1
VE2144 125211;4;3;
VE2144 100213;4;3;1
VE4253 507473;4;3;
VE4254 505311;4;3;
VE4254 503913;4;3;
I47500;4;1;1
MERCER19007A BL;4;3;1
MERCER19007C GR;4;3;1
PARADIS22016C B;4;3;
VARIETY 100;4;3;
ANOREXXXY 510;4;3;
SUGGESTY 811B;4;3;
SEXXXY EL;4;3;1
FINGERY 201N;4;3;
LU42100;4;1;1
LU43100;4;1;1
LU44100;4;1;1
AMQ4194/S 807;4;3;
128426;4;1;9
STATUS TORTOISE;4;3;1
8001630;4;1;16
505947;4;1;9
505949;4;1;9
505982;4;1;9
V59362;2;3;1
V59366;2;3;1
530R106;1;1;6
712DE04;1;1;2
822RO02;1;1;6
5099;2;1;5
VE2146B 100187;4;3;
342394 QCE40;1;1;6
343999 QCG01+52;1;1;12
344152 QCC40;1;1;2
344923 Q1VPN;1;1;6
313917 DIP1N;1;4;4
343975 AXQ0O;1;4;1
TRON CAMO;2;3;1
TRONMETSIL;2;3;1
301832 TEE57;2;1;5
H2007A 14110T;2;1;6
H2002 14190;2;1;6
C91003 02Q H8;1;1;5
C32135 05L 6O;2;1;5
D3301001147;1;1;4
D3320001091;1;1;4
U2935001035R;2;1;4
S37WS0191;2;3;1
S37WS0202;2;3;1
M0041;1;1;4
M0085/B;1;1;3
TR190SIDE LACE;2;1;5
FRITZF35COPPER;4;3;1
F452SA102L06.70;1;4;1
FX06;2;3;1
M41121;2;3;2
D0053-2200PCHA;4;1;1
D0053-22100PROM;4;1;1
D0053-22100PPAS;4;1;1
TP435;1;1;2
MS14TR09TWS001;1;1;5
MS14SH06TWS001;1;1;1
MS14TS17TWS001;1;1;2
41RT60 41617;1;1;5
41RH58 41625;1;1;6
NAA07M NA24M;1;1;6
NAG21M NA23M;1;1;4
NAH09M NA41M;1;1;2
JP503;1;5;
JP506;1;5;
JP507;1;5;5
JP508P;1;5;4
JP509S;1;5;4
JP509B;1;5;4
JP510;1;5;4
JP511;1;5;4
JP519;1;5;4
JP520;1;5;4
JP521;1;5;4
JP525;1;5;4
JP526;1;5;4
JP527;1;5;4
JP527Y;1;5;4
JP528;1;5;4
JP528B;1;5;4
JP530;1;5;2
JP537;1;5;6
JP538;1;5;2
JP540;1;5;1
JP541;1;5;
JP542;1;5;4
JP542S;1;5;4
JP543;1;5;4
JP543G;1;5;4
JP543O;1;5;4
JP543B;1;5;4
JP545;1;5;4
FP4151 T0218;1;1;7
D65207;2;3;1
545967;1;3;5
PLAYBOY4594-41;4;3;2
PORSCHE5659-90;4;3;2
VIENNALINEB59;4;3;1
NESOTYLE135;4;3;1
DIOR2616-10GRD;4;3;1
DIOR2615-94;4;3;1
245139;1;3;6
TPYCSV14207;4;5;1
14P3012359;1;1;4
14P3012364;1;1;4
14P5005364;1;1;5
14P4007374;1;1;7
14P4705440;1;1;7
14P2744424*;1;1;6
D9L610170;2;1;9
D9LC60170;2;1;9
D9LC60320;2;1;9
D9L610210;2;1;9
S14IT6008 338;4;1;5
S14IT6002 338;4;1;4
S14IT6007 338;4;1;5
S14HA4001 413;2;2;2
S72CT0894S22311;1;1;6
S72LA0604S30342;1;1;5
S75BN0349S42379;1;1;4
S75LA0496S30260;1;1;5
S71KA0745S41794;2;1;5
S71KA0733S35175;2;1;5
835050584505-;7;1;2
FAGT30;7;1;10
7HIL001AQU;1;3;1
BLASTER MBLUE;4;1;9
4820CHRONO BLK;4;2;2
4820CHRONO ALLB;4;2;2
D2U5 BOX;7;1;8
D2T10 BOX;7;1;8
D2P13*;7;1;6
545247;1;3;5
344436 KUB2N;1;4;1
351563 WHDH0;1;3;5
W021330387C8A;1;1;6
W021360387C8A;1;1;6
W021712307C8A;1;1;6
W071272305C8A;1;1;4
W041322303C8A;1;1;7
JM-K101-051;1;3;2
JM-P018-051;1;1;5
JM-B003-051;1;1;9
TP03 COTTON;1;1;1
DR22 SILK;1;1;6
337638 RBK19;1;1;6
337647 RBK19;1;1;6
14U2798489;1;1;6
PENSEE-BIS 6544;1;1;5
SARDI 6065;1;1;7
DREAMTWILIGHT;1;3;8
DREAMMARSH;1;3;8
DREAMBERRY;1;3;8
DREAMBABY;1;3;8
FRANK;1;1;2
FRANKBROWN;1;1;2
4S9RA34CM087;1;1;6
4S9RA67CM090;1;1;6
4S9R028CTL06;1;1;6
4E3Y668CC66;1;3;5
92308W;1;3;8
MANSON;1;1;2
BOWIE*;1;1;2
KIZZ TANK;1;1;2
MIKMAK;1;1;3
M0674S04 BLK/GL;4;3;
XAM14-GM;4;1;9
DRVV149 SS14;1;1;6
XAM14-OR;4;1;9
WB2297;4;1;10
WB2296;4;1;10
WB2106;4;1;10
WB2164;4;1;10
WBNK2124;4;1;10
BL2237;1;2;1
BL2244;1;2;1
VBS2C12 BLKHAZE;4;3;
E40233001;1;3;5
E40287001;1;3;5
PHENIXRAINBOWSI;1;5;5
E40170002;1;3;5
LEITMOTIVHINDIW;1;5;5
RIVERCOMET;1;5;5
SSD V SHINY;1;1;6
GENE V SHINY;1;1;7
EMSW LUCKY;1;1;3
FV03 PATENT;1;4;4
F451SA102L14;1;4;1
F451TO829928;1;1;3
MASAKO;1;3;7
MS7109;1;1;6
ALETHEA;1;3;5
CHRYSSO;1;3;5
MDA128 144326;1;1;6
MDM196 144385;1;1;2
AW3D1HCOEC8A;1;5;5
AW3D2HCOEC8A;1;5;5
AW3D5HCOEC8A;1;5;1
AW2D9HCOEC8A;1;2;1
AW3E4HETOC8A;1;5;5
AW3E2HETOC8A;1;5;5
AWCJ1F3H1LOUE14;1;5;5
AW3A5HDIAC8A;1;5;5
AW3A1HDIAC8A;1;5;5
4220CHRONO MJUL;4;2;1
4820CHRONO NAT/;4;2;2
4820CHRONO G/W;4;2;2
644824;2;3;1
ASM020SB;1;2;2
ASM021SB;1;2;2
ASM023SB;1;2;2
ASM045SB;1;2;2
ASM029SB;1;2;2
CF/SNK6L;4;1;6
CH/SNK26;4;1;6
020 027;4;3;
022 009;4;3;
022 055;4;3;
022 063;4;3;
036V 009;4;3;1
3XA33014142;1;2;3
3XA77018001;4;1;14
3XA77028001;4;1;14
3XA79538303;4;1;4
92267;1;1;6
92271;1;1;6
92261;1;1;6
JSMTLB-2;2;2;2
JOSG-SB;2;2;2
JSMTLSB-1;2;2;2
JSBLGSB;2;2;2
IPH5CRO07;4;1;4
IPH5OST10;4;1;4
IPH5OST13;4;1;4
116 001;4;3;1
116 027;4;3;
VBS1 C21 FUCHSI;4;3;
VE2147B 133913;4;3;
VE2147B 100911;4;3;
HUNTER GLD/BLK;4;3;1
HUNTER GLD/BLUE;4;3;1
TAULANT PEAR/CO;4;3;1
