store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM;repetidos
admin;base;1;configurable;Default;talla,color;1,1,4;WJK122;WJK122MNAVY,WJK122MWHITE,WJK122SNAVY,WJK122SWHITE,WJK122XSNAVY,WJK122XSWHITE;Habilitado;Catálogo, Búsqueda;;CHAQUETA ARRUGADA MARINO;CHAQUETA ARRUGADA MARINO;;;IVA AL 21%;1;1;4;;PV14C;UNCONDITIONAL;;;;;;;141;WJK122;;;;/media/import/fotosweb/unconditional/141/chaquetaarrugadamarinonavy2.jpg;;;CREASED NAVY JACKET;COTTON POLYESTER METAL;;/media/import/fotosweb/unconditional/141/chaquetaarrugadamarinonavy1.jpg;/media/import/fotosweb/unconditional/141/chaquetaarrugadamarinonavy2.jpg;;SLOT 57;;STANDARD;;384.30;30/12/99;30/12/99;.00;;1;;;1;384.30;115.70;;1
admin;base;1;configurable;Default;talla,color;1,1,4;WJK117;WJK117LBLACK,WJK117MBLACK,WJK117SBLACK;Habilitado;Catálogo, Búsqueda;;CHAQUETA MANGAS ENCAJE;CHAQUETA MANGAS ENCAJE;;;IVA AL 21%;1;1;4;;PV14C;UNCONDITIONAL;;;;;;;141;WJK117;;;;/media/import/fotosweb/unconditional/141/chaquetamangasencaje2.jpg;;;LACE SLEEVES JACKET;100% WOOL;;/media/import/fotosweb/unconditional/141/chaquetamangasencaje1.jpg;/media/import/fotosweb/unconditional/141/chaquetamangasencaje2.jpg;;SLOT 56;;STANDARD;;595.04;30/12/99;30/12/99;.00;;1;;;1;595.04;178.51;;1
admin;base;1;configurable;Default;talla,color;1,1,2;WFJ233FJ;WFJ233FJMBLACK,WFJ233FJMWHITE,WFJ233FJSBLACK,WFJ233FJSWHITE,WFJ233FJXSBLACK,WFJ233FJXSWHITE;Habilitado;Catálogo, Búsqueda;;TSHIRT GASA DETRAS;TSHIRT GASA DETRAS;;;IVA AL 21%;1;1;2;;PV14C;UNCONDITIONAL;;;;;;;141;WFJ233FJ;;;;;;;BACK CHIFFON T-SHIRT;100% COTTON ;;/media/import/fotosweb/unconditional/141/tshirt_gasablk1.jpg;;;SLOT 57;;STANDARD;;89.26;30/12/99;30/12/99;.00;;1;;;1;89.26;27.27;;1
admin;base;1;configurable;Default;talla,color;4,1,4;B1B79608303;B1B79608303UNICA0048FLYELL;Habilitado;Catálogo, Búsqueda;;FUNDA OSO MOSCHINO;FUNDA OSO MOSCHINO;;;IVA AL 21%;4;1;4;;PV14C;MOSCHINO;;;;;;;141;B1B79608303;;;;;;;BEAR MOSCHINO COVER;100% NYLON;Funda Moschino para Iphone 5 con forma de oso Gennarino.;;;Moschino Iphone 5 cover with bear shape Gennarino.;;;OS;;43.80;30/12/99;30/12/99;.00;;1;;;1;43.80;13.22;;1
admin;base;1;configurable;Default;talla,color;1,1,3;EYESEEYOU;EYESEEYOUSUNICO;Habilitado;Catálogo, Búsqueda;;SUETER SEE YOU;SUETER SEE YOU;;;IVA AL 21%;1;1;3;;PV14C;JONATHAN BURDINE;;;;;;;141;EYESEEYOU;;;;/media/import/fotosweb/jonathan_burdine/141/sueterseeyou2.jpg;;;SEE YOU PULLOVER;100% COTTON;;/media/import/fotosweb/jonathan_burdine/141/sueterseeyou1.jpg;/media/import/fotosweb/jonathan_burdine/141/sueterseeyou2.jpg;;;;STANDARD;;139.67;20/06/14;31/12/50;70.25;;1;;;1;139.67;42.15;;1
admin;base;1;configurable;Default;talla,color;1,1,3;EYESEEYOUSWEAT;EYESEEYOUSWEATSUNICO;Habilitado;Catálogo, Búsqueda;;FELPA SEE YOU LONG;FELPA SEE YOU LONG;;;IVA AL 21%;1;1;3;;PV14C;JONATHAN BURDINE;;;;;;;141;EYESEEYOUSWEAT;;;;/media/import/fotosweb/jonathan_burdine/141/felpaseeyoulong2.jpg;;;SEE YOU LONG SWEATSHIRT;100% COTTON;;/media/import/fotosweb/jonathan_burdine/141/felpaseeyoulong1.jpg;/media/import/fotosweb/jonathan_burdine/141/felpaseeyoulong2.jpg;;;;STANDARD;;157.02;20/06/14;31/12/50;78.51;;1;;;1;157.02;47.11;;1
admin;base;1;configurable;Default;talla,color;1,1,6;MS7109O;MS7109OSNAVYOMBRE,MS7109OSPURPLEMACA,MS7109OXSNAVYOMBRE,MS7109OXSPURPLEMACA;Habilitado;Catálogo, Búsqueda;;VESTIDO HAMPTONS SOMBRA;VESTIDO HAMPTONS SOMBRA;;;IVA AL 21%;1;1;6;;PV14C;YFB;;;;;;;141;MS7109O;;;;/media/import/fotosweb/yfb/141/vestidohamptonssombra2.jpg;;;HAMPTONS SHADOWED DRESS;92% MODAL 8% SPANDEX;;/media/import/fotosweb/yfb/141/vestidohamptonssombra1.jpg;/media/import/fotosweb/yfb/141/vestidohamptonssombra2.jpg;;;;STANDARD;;168.60;20/06/14;31/12/50;84.30;;1;;;1;168.60;51.24;;1
admin;base;1;configurable;Default;talla,color;1,4,1;BFE555 NAY ;BFE555 NAY UNICA41PNERO,BFE555 NAY UNICAK77NAVY;Habilitado;Catálogo, Búsqueda;;BOLSO NAPPA HEBILLAS;BOLSO NAPPA HEBILLAS;;;IVA AL 21%;1;4;1;;PV14C;VERSACE;;;;;;;141;BFE555 NAY ;;;;/media/import/fotosweb/versace/141/bolsonappahebillas2.jpg;;;BUCKLES NAPPA HANDBAG;100% LAMB LEATHER;;/media/import/fotosweb/versace/141/bolsonappahebillas1.jpg;/media/import/fotosweb/versace/141/bolsonappahebillas2.jpg;;SLOT 52;;OS;;1887.60;20/06/14;31/12/50;1133.06;;1;;;1;1887.60;566.94;;1
admin;base;1;configurable;Default;talla,color;1,1,2;WFJ222FJ;WFJ222FJMFLANNEL,WFJ222FJMWHITE,WFJ222FJSFLANNEL,WFJ222FJSWHITE,WFJ222FJXSFLANNEL,WFJ222FJXSWHITE;Habilitado;Catálogo, Búsqueda;;CAMISETA OVER MANGUITA;CAMISETA OVER MANGUITA;;;IVA AL 21%;1;1;2;;PV14C;UNCONDITIONAL;;;;;;;141;WFJ222FJ;;;;/media/import/fotosweb/unconditional/141/camisetaovermanguitawht2.jpg;;;OVER T-SHIRT;100% COTTON;;/media/import/fotosweb/unconditional/141/camisetaovermanguitawht1.jpg;/media/import/fotosweb/unconditional/141/camisetaovermanguitawht2.jpg;;SLOT 56;;STANDARD;;95.87;30/12/99;30/12/99;.00;;1;;;1;95.87;28.93;;1
admin;base;1;configurable;Default;talla,color;1,4,1;BFD703 VPT1;BFD703 VPT1UNICAK0AOBIANCO;Habilitado;Catálogo, Búsqueda;;BOLSO SIGNATURE FLAP PITON;BOLSO SIGNATURE FLAP PITON;;;IVA AL 21%;1;4;1;;PV14C;VERSACE;;;;;;;141;BFD703 VPT1;;;;/media/import/fotosweb/versace/142/versace242_2.jpg;;;SIGNATURE PYTHON FLAP HANDBAG;100% REAL PYTHON + CALF LEATHER;;/media/import/fotosweb/versace/142/versace242_1.jpg;/media/import/fotosweb/versace/142/versace242_2.jpg;;;;OS;;1501.65;20/06/14;31/12/50;901.65;;1;;;1;1501.65;451.24;;1
admin;base;1;configurable;Default;talla,color;1,5,7;G5E544 JMT 00P;G5E544 JMT 00PUNICAPALLADIO;Habilitado;Catálogo, Búsqueda;;ANILLO PUNTA DEDO;ANILLO PUNTA DEDO;;;IVA AL 21%;1;5;7;;PV14C;VERSACE;;;;;;;141;G5E544 JMT 00P;;;;;;;FINGER TIP RING;100% METAL;;/media/import/fotosweb/versace/142/versace243_1.jpg;;;;;OS;;66.94;30/12/99;30/12/99;.00;;1;;;1;66.94;20.66;;1
admin;base;1;configurable;Default;talla,color;1,1,2;F452TS7054XA.96;F452TS7054XA.96LMIDGREY,F452TS7054XA.96MMIDGREY,F452TS7054XA.96SMIDGREY,F452TS7054XA.96XLMIDGREY;Habilitado;Catálogo, Búsqueda;;TSHIRT MC TIGRE;TSHIRT MC TIGRE;;;IVA AL 21%;1;1;2;;PV14P;KENZO;;;;;;;141;F452TS7054XA.96;;;;;;;SHORT SLEEVE TIGER T-SHIRT;100% COTTON;Camiseta de manga corta de Kenzo con estampado de tigre y logo.;;;Kenzo short sleeve t-shirt with tiger print and logo.;SLOT ASOCIADO KENZO;;STANDARD;;80.99;30/12/99;30/12/99;.00;;1;;;1;80.99;24.79;;1
admin;base;1;configurable;Default;talla,color;1,5,1;327970 J1D9N;327970 J1D9NUNICA1279DIAM;Habilitado;Catálogo, Búsqueda;;BRAZALETE ESQUELETOS;BRAZALETE ESQUELETOS;;;IVA AL 21%;1;5;1;;PV14P;ALEXANDER MCQUEEN;;;;;;;141;327970 J1D9N;;;;/media/import/fotosweb/a_mcqueen/141/brazalete_esqueletos2.jpg;;;SKELETON BRACELET;;;/media/import/fotosweb/a_mcqueen/141/brazalete_esqueletos1.jpg;/media/import/fotosweb/a_mcqueen/141/brazalete_esqueletos2.jpg;;SLOT ASOCIADO 16;;OS;;326.45;14/06/14;31/12/50;195.87;;1;;;1;326.45;98.35;;1
admin;base;1;configurable;Default;talla,color;1,4,8;TBS14-100-CB;TBS14-100-CBUNICABROWN/BLK;Habilitado;Catálogo, Búsqueda;;BOX OVAL ADRIANNE;BOX OVAL ADRIANNE;;;IVA AL 21%;1;4;8;;PV14C;THALÉ BLANC;;;;;;;141;TBS14-100-CB;;;;/media/import/fotosweb/thale_blanc/141/boxovaladrianne2.jpg;;;ADRIANNE OVAL BOX;;;/media/import/fotosweb/thale_blanc/141/boxovaladrianne1.jpg;/media/import/fotosweb/thale_blanc/141/boxovaladrianne2.jpg;;SLOT 54;;STANDARD;;1271.90;20/06/14;31/12/50;763.64;;1;;;1;1271.90;381.82;;1
admin;base;1;configurable;Default;talla,color;1,1,6;RW-PF13-16;RW-PF13-1638NUDESILVER,RW-PF13-1640NUDESILVER;Habilitado;Catálogo, Búsqueda;;VESTIDO CORTO NUDE PLATA;VESTIDO CORTO NUDE PLATA;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;;;;;;;141;RW-PF13-16;;;;/media/import/fotosweb/mikael_d/141/vestidocortonudeplata2.jpg;;;SILVER NUDE SHORT DRESS;;;/media/import/fotosweb/mikael_d/141/vestidocortonudeplata1.jpg;/media/import/fotosweb/mikael_d/141/vestidocortonudeplata2.jpg;;;;IT;;2394.21;30/12/99;30/12/99;.00;;1;;;1;2394.21;719.01;;1
