store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;RS0014CLF017744UNICANOISETTE;;Habilitado;Not Visible Individually;115951;BOLSO YUKALI PIEL MEDIANO;BOLSO YUKALI PIEL MEDIANO;;;IVA AL 21%;1;4;1;;OI15C;NINA RICCI;UNICA;NOISETTE;1159511;;;SEASONAL;152;RS0014CLF017744;;F;01/01/99;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-006_0.jpg;;;YUKALI MEDIUM LEATHER BAG;100% Bos Taurus;Alto: 	23	cm<br/>Ancho: 	37	cm<br/>Fondo: 	18	cm;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-006_1.jpg;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-006_2.jpg;Height: 	23	cm<br/>Width: 	37	cm<br/>Depth: 	18	cm;SLOT 32153;F;OS;4;1149.59;13/11/15;31/12/50;690.08;2.00;1;04/08/15;03/09/15;1;;;1968037177
admin;base;1;configurable;Default;talla,color;1,4,1;RS0014CLF017744;RS0014CLF017744UNICANOISETTE;Habilitado;Catálogo, Búsqueda;;BOLSO YUKALI PIEL MEDIANO;BOLSO YUKALI PIEL MEDIANO;;;IVA AL 21%;1;4;1;;OI15C;NINA RICCI;;;;;;SEASONAL;152;RS0014CLF017744;;;;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-006_2.jpg;;;YUKALI MEDIUM LEATHER BAG;100% Bos Taurus;Alto: 	23	cm<br/>Ancho: 	37	cm<br/>Fondo: 	18	cm;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-006_1.jpg;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-006_2.jpg;Height: 	23	cm<br/>Width: 	37	cm<br/>Depth: 	18	cm;SLOT 32153;;OS;;1149.59;13/11/15;31/12/50;690.08;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;RS0014CLF017744;RS0014CLF017744UNICANOISETTE;Habilitado;Catálogo, Búsqueda;;BOLSO YUKALI PIEL MEDIANO;BOLSO YUKALI PIEL MEDIANO;;;IVA AL 21%;1;4;1;;OI15C;NINA RICCI;;;;;;SEASONAL;152;RS0014CLF017744;;;;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-006_1.jpg;;;YUKALI MEDIUM LEATHER BAG;100% Bos Taurus;Alto: 	23	cm<br/>Ancho: 	37	cm<br/>Fondo: 	18	cm;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-006_1.jpg;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-006_2.jpg;Height: 	23	cm<br/>Width: 	37	cm<br/>Depth: 	18	cm;SLOT 32153;;OS;;1149.59;13/11/15;31/12/50;690.08;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;RS0014CLF017744;RS0014CLF017744UNICANOISETTE;Habilitado;Catálogo, Búsqueda;;BOLSO YUKALI PIEL MEDIANO;BOLSO YUKALI PIEL MEDIANO;;;IVA AL 21%;1;4;1;;OI15C;NINA RICCI;;;;;;SEASONAL;152;RS0014CLF017744;;;;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-006_0.jpg;;;YUKALI MEDIUM LEATHER BAG;100% Bos Taurus;Alto: 	23	cm<br/>Ancho: 	37	cm<br/>Fondo: 	18	cm;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-006_1.jpg;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-006_2.jpg;Height: 	23	cm<br/>Width: 	37	cm<br/>Depth: 	18	cm;SLOT 32153;;OS;;1149.59;13/11/15;31/12/50;690.08;;1;;;1;;;
