store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;BB05250645001UNICABLACK;;Habilitado;Not Visible Individually;116430;BOLSO PANDORA TACHUELAS NEGRAS;BOLSO PANDORA TACHUELAS NEGRAS;;;IVA AL 21%;1;4;1;;OI15C;GIVENCHY;UNICA;BLACK;1164301;;;SEASONAL;152;BB05250645001;;F;01/01/99;/media/import/fotosweb/givenchy/152/givenchy_152-132_0.jpg;;;BLACK STUDS PANDORA BAG;100% Calf Leather;Alto: 	18	cm<br/>Ancho: 	34	cm<br/>Fondo: 	16	cm;/media/import/fotosweb/givenchy/152/givenchy_152-132_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-132_2.jpg;Height: 	18	cm<br/>Width: 	34	cm<br/>Depth: 	16	cm;SLOT 33970;F;OS;4;1479.34;;;;1.00;1;07/10/15;06/11/15;1;;;367659735
admin;base;1;configurable;Default;talla,color;1,4,1;BB05250645001;BB05250645001UNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO PANDORA TACHUELAS NEGRAS;BOLSO PANDORA TACHUELAS NEGRAS;;;IVA AL 21%;1;4;1;;OI15C;GIVENCHY;;;;;;SEASONAL;152;BB05250645001;;;;/media/import/fotosweb/givenchy/152/givenchy_152-132_2.jpg;;;BLACK STUDS PANDORA BAG;100% Calf Leather;Alto: 	18	cm<br/>Ancho: 	34	cm<br/>Fondo: 	16	cm;/media/import/fotosweb/givenchy/152/givenchy_152-132_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-132_2.jpg;Height: 	18	cm<br/>Width: 	34	cm<br/>Depth: 	16	cm;SLOT 33970;;OS;;1479.34;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BB05250645001;BB05250645001UNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO PANDORA TACHUELAS NEGRAS;BOLSO PANDORA TACHUELAS NEGRAS;;;IVA AL 21%;1;4;1;;OI15C;GIVENCHY;;;;;;SEASONAL;152;BB05250645001;;;;/media/import/fotosweb/givenchy/152/givenchy_152-132_1.jpg;;;BLACK STUDS PANDORA BAG;100% Calf Leather;Alto: 	18	cm<br/>Ancho: 	34	cm<br/>Fondo: 	16	cm;/media/import/fotosweb/givenchy/152/givenchy_152-132_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-132_2.jpg;Height: 	18	cm<br/>Width: 	34	cm<br/>Depth: 	16	cm;SLOT 33970;;OS;;1479.34;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BB05250645001;BB05250645001UNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO PANDORA TACHUELAS NEGRAS;BOLSO PANDORA TACHUELAS NEGRAS;;;IVA AL 21%;1;4;1;;OI15C;GIVENCHY;;;;;;SEASONAL;152;BB05250645001;;;;/media/import/fotosweb/givenchy/152/givenchy_152-132_0.jpg;;;BLACK STUDS PANDORA BAG;100% Calf Leather;Alto: 	18	cm<br/>Ancho: 	34	cm<br/>Fondo: 	16	cm;/media/import/fotosweb/givenchy/152/givenchy_152-132_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-132_2.jpg;Height: 	18	cm<br/>Width: 	34	cm<br/>Depth: 	16	cm;SLOT 33970;;OS;;1479.34;;;;;1;;;1;;;
