store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;BB05114698001UNICABLACK;;Habilitado;Not Visible Individually;116462;MINI BOLSO ANTIGONA TACHOS;MINI BOLSO ANTIGONA TACHOS;;;IVA AL 21%;1;4;1;;OI15P;GIVENCHY;UNICA;BLACK;1164621;;;PERMANENT;152;BB05114698001;;F;01/01/99;/media/import/fotosweb/givenchy/152/givenchy_152-106_0.jpg;;;ANTIGONA STUDS MINI BAG;100% Calf Leather;Alto: 	18	cm<br/>Ancho: 	22	cm<br/>Fondo: 	11	cm;/media/import/fotosweb/givenchy/152/givenchy_152-106_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-106_2.jpg;Height: 	18	cm<br/>Width: 	22	cm<br/>Depth: 	11	cm;;F;OS;4;1198.35;30/12/99;30/12/99;.00;2.00;1;12/08/15;11/09/15;1;;;89854953
admin;base;1;configurable;Default;talla,color;1,4,1;BB05114698001;BB05114698001UNICABLACK;Habilitado;Catálogo, Búsqueda;;MINI BOLSO ANTIGONA TACHOS;MINI BOLSO ANTIGONA TACHOS;;;IVA AL 21%;1;4;1;;OI15P;GIVENCHY;;;;;;PERMANENT;152;BB05114698001;;;;/media/import/fotosweb/givenchy/152/givenchy_152-106_2.jpg;;;ANTIGONA STUDS MINI BAG;100% Calf Leather;Alto: 	18	cm<br/>Ancho: 	22	cm<br/>Fondo: 	11	cm;/media/import/fotosweb/givenchy/152/givenchy_152-106_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-106_2.jpg;Height: 	18	cm<br/>Width: 	22	cm<br/>Depth: 	11	cm;;;OS;;1198.35;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BB05114698001;BB05114698001UNICABLACK;Habilitado;Catálogo, Búsqueda;;MINI BOLSO ANTIGONA TACHOS;MINI BOLSO ANTIGONA TACHOS;;;IVA AL 21%;1;4;1;;OI15P;GIVENCHY;;;;;;PERMANENT;152;BB05114698001;;;;/media/import/fotosweb/givenchy/152/givenchy_152-106_1.jpg;;;ANTIGONA STUDS MINI BAG;100% Calf Leather;Alto: 	18	cm<br/>Ancho: 	22	cm<br/>Fondo: 	11	cm;/media/import/fotosweb/givenchy/152/givenchy_152-106_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-106_2.jpg;Height: 	18	cm<br/>Width: 	22	cm<br/>Depth: 	11	cm;;;OS;;1198.35;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BB05114698001;BB05114698001UNICABLACK;Habilitado;Catálogo, Búsqueda;;MINI BOLSO ANTIGONA TACHOS;MINI BOLSO ANTIGONA TACHOS;;;IVA AL 21%;1;4;1;;OI15P;GIVENCHY;;;;;;PERMANENT;152;BB05114698001;;;;/media/import/fotosweb/givenchy/152/givenchy_152-106_0.jpg;;;ANTIGONA STUDS MINI BAG;100% Calf Leather;Alto: 	18	cm<br/>Ancho: 	22	cm<br/>Fondo: 	11	cm;/media/import/fotosweb/givenchy/152/givenchy_152-106_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-106_2.jpg;Height: 	18	cm<br/>Width: 	22	cm<br/>Depth: 	11	cm;;;OS;;1198.35;30/12/99;30/12/99;.00;;1;;;1;;;
