store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;BJ05001522004UNICABK/WT;;Habilitado;Not Visible Individually;116436;MOCHILA RIDER BCO/NE;MOCHILA RIDER BCO/NE;;;IVA AL 21%;2;4;5;;OI15C;GIVENCHY;UNICA;BK/WT;1164361;;;PERMANENT;152;BJ05001522004;;F;01/01/99;/media/import/fotosweb/givenchy/152/givenchy_152-063_0.jpg;;;WHITE BLACK RIDER BACKPACK;100% Nylon;Alto: 	42	cm<br/>Ancho: 	27	cm<br/>Fondo: 	16	cm;/media/import/fotosweb/givenchy/152/givenchy_152-063_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-063_2.jpg;Height: 	42	cm<br/>Width: 	27	cm<br/>Depth: 	16	cm;;F;OS;4;822.31;30/12/99;30/12/99;.00;.00;1;05/08/15;04/09/15;1;;;1663115545
admin;base;1;configurable;Default;talla,color;2,4,5;BJ05001522004;BJ05001522004UNICABK/WT;Habilitado;Catálogo, Búsqueda;;MOCHILA RIDER BCO/NE;MOCHILA RIDER BCO/NE;;;IVA AL 21%;2;4;5;;OI15C;GIVENCHY;;;;;;PERMANENT;152;BJ05001522004;;;;/media/import/fotosweb/givenchy/152/givenchy_152-063_2.jpg;;;WHITE BLACK RIDER BACKPACK;100% Nylon;Alto: 	42	cm<br/>Ancho: 	27	cm<br/>Fondo: 	16	cm;/media/import/fotosweb/givenchy/152/givenchy_152-063_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-063_2.jpg;Height: 	42	cm<br/>Width: 	27	cm<br/>Depth: 	16	cm;;;OS;;822.31;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,4,5;BJ05001522004;BJ05001522004UNICABK/WT;Habilitado;Catálogo, Búsqueda;;MOCHILA RIDER BCO/NE;MOCHILA RIDER BCO/NE;;;IVA AL 21%;2;4;5;;OI15C;GIVENCHY;;;;;;PERMANENT;152;BJ05001522004;;;;/media/import/fotosweb/givenchy/152/givenchy_152-063_1.jpg;;;WHITE BLACK RIDER BACKPACK;100% Nylon;Alto: 	42	cm<br/>Ancho: 	27	cm<br/>Fondo: 	16	cm;/media/import/fotosweb/givenchy/152/givenchy_152-063_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-063_2.jpg;Height: 	42	cm<br/>Width: 	27	cm<br/>Depth: 	16	cm;;;OS;;822.31;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,4,5;BJ05001522004;BJ05001522004UNICABK/WT;Habilitado;Catálogo, Búsqueda;;MOCHILA RIDER BCO/NE;MOCHILA RIDER BCO/NE;;;IVA AL 21%;2;4;5;;OI15C;GIVENCHY;;;;;;PERMANENT;152;BJ05001522004;;;;/media/import/fotosweb/givenchy/152/givenchy_152-063_0.jpg;;;WHITE BLACK RIDER BACKPACK;100% Nylon;Alto: 	42	cm<br/>Ancho: 	27	cm<br/>Fondo: 	16	cm;/media/import/fotosweb/givenchy/152/givenchy_152-063_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-063_2.jpg;Height: 	42	cm<br/>Width: 	27	cm<br/>Depth: 	16	cm;;;OS;;822.31;30/12/99;30/12/99;.00;;1;;;1;;;
