store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;401887EFW0V9901UNICATEINT;;Habilitado;Not Visible Individually;116182;BOX ROSAS LACADAS;BOX ROSAS LACADAS;;;IVA AL 21%;1;4;8;;OI15C;ALEXANDER MCQUEEN;UNICA;TEINT;1161821;;;SEASONAL;152;401887EFW0V9901;;F;01/01/99;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-062_0.jpg;;;ENAMELED ROSES BOX;100% Leather;Alto: 	7,5	cm<br/>Ancho: 	15	cm<br/>Fondo: 	5	cm;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-062_1.jpg;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-062_2.jpg;Height: 	7,5	cm<br/>Width: 	15	cm<br/>Depth: 	5	cm;SLOT 32957;F;OS;4;2061.98;13/11/15;31/12/50;1237.19;.00;1;28/08/15;27/09/15;1;;;-2059300088
admin;base;1;configurable;Default;talla,color;1,4,8;401887EFW0V9901;401887EFW0V9901UNICATEINT;Habilitado;Catálogo, Búsqueda;;BOX ROSAS LACADAS;BOX ROSAS LACADAS;;;IVA AL 21%;1;4;8;;OI15C;ALEXANDER MCQUEEN;;;;;;SEASONAL;152;401887EFW0V9901;;;;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-062_2.jpg;;;ENAMELED ROSES BOX;100% Leather;Alto: 	7,5	cm<br/>Ancho: 	15	cm<br/>Fondo: 	5	cm;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-062_1.jpg;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-062_2.jpg;Height: 	7,5	cm<br/>Width: 	15	cm<br/>Depth: 	5	cm;SLOT 32957;;OS;;2061.98;13/11/15;31/12/50;1237.19;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,8;401887EFW0V9901;401887EFW0V9901UNICATEINT;Habilitado;Catálogo, Búsqueda;;BOX ROSAS LACADAS;BOX ROSAS LACADAS;;;IVA AL 21%;1;4;8;;OI15C;ALEXANDER MCQUEEN;;;;;;SEASONAL;152;401887EFW0V9901;;;;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-062_1.jpg;;;ENAMELED ROSES BOX;100% Leather;Alto: 	7,5	cm<br/>Ancho: 	15	cm<br/>Fondo: 	5	cm;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-062_1.jpg;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-062_2.jpg;Height: 	7,5	cm<br/>Width: 	15	cm<br/>Depth: 	5	cm;SLOT 32957;;OS;;2061.98;13/11/15;31/12/50;1237.19;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,8;401887EFW0V9901;401887EFW0V9901UNICATEINT;Habilitado;Catálogo, Búsqueda;;BOX ROSAS LACADAS;BOX ROSAS LACADAS;;;IVA AL 21%;1;4;8;;OI15C;ALEXANDER MCQUEEN;;;;;;SEASONAL;152;401887EFW0V9901;;;;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-062_0.jpg;;;ENAMELED ROSES BOX;100% Leather;Alto: 	7,5	cm<br/>Ancho: 	15	cm<br/>Fondo: 	5	cm;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-062_1.jpg;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-062_2.jpg;Height: 	7,5	cm<br/>Width: 	15	cm<br/>Depth: 	5	cm;SLOT 32957;;OS;;2061.98;13/11/15;31/12/50;1237.19;;1;;;1;;;
