store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;HRS0001CLF00190UNICANOIR;;Habilitado;Not Visible Individually;115960;BOLSO MARCHE MIXTO ANTE;BOLSO MARCHE MIXTO ANTE;;;IVA AL 21%;1;4;1;;OI15C;NINA RICCI;UNICA;NOIR;1159601;;;SEASONAL;152;HRS0001CLF00190;;F;01/01/99;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-003_0.jpg;;;MARCHE MIXED SUEDE BAG;100% Bos Taurus;Alto: 	23	cm<br/>Ancho: 	4	cm<br/>Fondo: 	18	cm;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-003_1.jpg;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-003_2.jpg;Height: 	23	cm<br/>Width: 	4	cm<br/>Depth: 	18	cm;;F;OS;4;1066.12;25/09/15;30/09/15;746.28;.00;1;30/07/15;29/08/15;1;;;-321828197
admin;base;1;configurable;Default;talla,color;1,4,1;HRS0001CLF00190;HRS0001CLF00190UNICANOIR;Habilitado;Catálogo, Búsqueda;;BOLSO MARCHE MIXTO ANTE;BOLSO MARCHE MIXTO ANTE;;;IVA AL 21%;1;4;1;;OI15C;NINA RICCI;;;;;;SEASONAL;152;HRS0001CLF00190;;;;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-003_2.jpg;;;MARCHE MIXED SUEDE BAG;100% Bos Taurus;Alto: 	23	cm<br/>Ancho: 	4	cm<br/>Fondo: 	18	cm;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-003_1.jpg;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-003_2.jpg;Height: 	23	cm<br/>Width: 	4	cm<br/>Depth: 	18	cm;;;OS;;1066.12;25/09/15;30/09/15;746.28;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;HRS0001CLF00190;HRS0001CLF00190UNICANOIR;Habilitado;Catálogo, Búsqueda;;BOLSO MARCHE MIXTO ANTE;BOLSO MARCHE MIXTO ANTE;;;IVA AL 21%;1;4;1;;OI15C;NINA RICCI;;;;;;SEASONAL;152;HRS0001CLF00190;;;;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-003_1.jpg;;;MARCHE MIXED SUEDE BAG;100% Bos Taurus;Alto: 	23	cm<br/>Ancho: 	4	cm<br/>Fondo: 	18	cm;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-003_1.jpg;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-003_2.jpg;Height: 	23	cm<br/>Width: 	4	cm<br/>Depth: 	18	cm;;;OS;;1066.12;25/09/15;30/09/15;746.28;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;HRS0001CLF00190;HRS0001CLF00190UNICANOIR;Habilitado;Catálogo, Búsqueda;;BOLSO MARCHE MIXTO ANTE;BOLSO MARCHE MIXTO ANTE;;;IVA AL 21%;1;4;1;;OI15C;NINA RICCI;;;;;;SEASONAL;152;HRS0001CLF00190;;;;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-003_0.jpg;;;MARCHE MIXED SUEDE BAG;100% Bos Taurus;Alto: 	23	cm<br/>Ancho: 	4	cm<br/>Fondo: 	18	cm;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-003_1.jpg;/media/import/fotosweb/nina_ricci/152/nina_ricci_152-003_2.jpg;Height: 	23	cm<br/>Width: 	4	cm<br/>Depth: 	18	cm;;;OS;;1066.12;25/09/15;30/09/15;746.28;;1;;;1;;;
