store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;V009406BLACKUNICABLACK;;Habilitado;Not Visible Individually;114370;BOLSO PUSSYCAT KITTY TERCIOPELO;BOLSO PUSSYCAT KITTY TERCIOPELO;;;IVA AL 21%;1;4;1;;OI15P;CHARLOTTE OLYMPIA;UNICA;BLACK;1143701;;;;152;V009406BLACK;;F;01/01/99;/media/import/fotosweb/charlotte_olympia/152/charlotte_olympia_152-013_0.jpg;;;PUSSYCAT KITTY VELVET BAG;100% Leather;Alto: 	17	cm<br/>Ancho: 	17	cm<br/>Fondo: 	6	cm;/media/import/fotosweb/charlotte_olympia/152/charlotte_olympia_152-013_1.jpg;/media/import/fotosweb/charlotte_olympia/152/charlotte_olympia_152-013_2.jpg;Height: 	17	cm<br/>Width: 	17	cm<br/>Depth: 	6	cm;SLOT 32155;F;OS;4;413.22;;;;.00;1;13/08/15;12/09/15;1;;;-1274890314
admin;base;1;configurable;Default;talla,color;1,4,1;V009406BLACK;V009406BLACKUNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO PUSSYCAT KITTY TERCIOPELO;BOLSO PUSSYCAT KITTY TERCIOPELO;;;IVA AL 21%;1;4;1;;OI15P;CHARLOTTE OLYMPIA;;;;;;;152;V009406BLACK;;;;/media/import/fotosweb/charlotte_olympia/152/charlotte_olympia_152-013_2.jpg;;;PUSSYCAT KITTY VELVET BAG;100% Leather;Alto: 	17	cm<br/>Ancho: 	17	cm<br/>Fondo: 	6	cm;/media/import/fotosweb/charlotte_olympia/152/charlotte_olympia_152-013_1.jpg;/media/import/fotosweb/charlotte_olympia/152/charlotte_olympia_152-013_2.jpg;Height: 	17	cm<br/>Width: 	17	cm<br/>Depth: 	6	cm;SLOT 32155;;OS;;413.22;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;V009406BLACK;V009406BLACKUNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO PUSSYCAT KITTY TERCIOPELO;BOLSO PUSSYCAT KITTY TERCIOPELO;;;IVA AL 21%;1;4;1;;OI15P;CHARLOTTE OLYMPIA;;;;;;;152;V009406BLACK;;;;/media/import/fotosweb/charlotte_olympia/152/charlotte_olympia_152-013_1.jpg;;;PUSSYCAT KITTY VELVET BAG;100% Leather;Alto: 	17	cm<br/>Ancho: 	17	cm<br/>Fondo: 	6	cm;/media/import/fotosweb/charlotte_olympia/152/charlotte_olympia_152-013_1.jpg;/media/import/fotosweb/charlotte_olympia/152/charlotte_olympia_152-013_2.jpg;Height: 	17	cm<br/>Width: 	17	cm<br/>Depth: 	6	cm;SLOT 32155;;OS;;413.22;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;V009406BLACK;V009406BLACKUNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO PUSSYCAT KITTY TERCIOPELO;BOLSO PUSSYCAT KITTY TERCIOPELO;;;IVA AL 21%;1;4;1;;OI15P;CHARLOTTE OLYMPIA;;;;;;;152;V009406BLACK;;;;/media/import/fotosweb/charlotte_olympia/152/charlotte_olympia_152-013_0.jpg;;;PUSSYCAT KITTY VELVET BAG;100% Leather;Alto: 	17	cm<br/>Ancho: 	17	cm<br/>Fondo: 	6	cm;/media/import/fotosweb/charlotte_olympia/152/charlotte_olympia_152-013_1.jpg;/media/import/fotosweb/charlotte_olympia/152/charlotte_olympia_152-013_2.jpg;Height: 	17	cm<br/>Width: 	17	cm<br/>Depth: 	6	cm;SLOT 32155;;OS;;413.22;;;;;1;;;1;;;
