store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;P8E663BLVT41OCUNICANEROGOLD;;Habilitado;Not Visible Individually;116083;POUCH PALAZZO PIEL;POUCH PALAZZO PIEL;;;IVA AL 21%;1;4;7;;OI15C;VERSACE;UNICA;NEROGOLD;1160831;;;PERMANENT;152;P8E663BLVT41OC;;F;01/01/99;/media/import/fotosweb/versace/152/versace_152-226_0.jpg;;;PALAZZO LEATHER POUCH;100% Leather;Alto: 	13	cm<br/>Ancho: 	20	cm<br/>Fondo: 	7	cm;/media/import/fotosweb/versace/152/versace_152-226_1.jpg;/media/import/fotosweb/versace/152/versace_152-226_2.jpg;Height: 	13	cm<br/>Width: 	20	cm<br/>Depth: 	7	cm;SLOT 32070;F;OS;4;495.87;30/12/99;30/12/99;.00;.00;1;22/07/15;21/08/15;1;;;509488743
admin;base;1;configurable;Default;talla,color;1,4,7;P8E663BLVT41OC;P8E663BLVT41OCUNICANEROGOLD;Habilitado;Catálogo, Búsqueda;;POUCH PALAZZO PIEL;POUCH PALAZZO PIEL;;;IVA AL 21%;1;4;7;;OI15C;VERSACE;;;;;;PERMANENT;152;P8E663BLVT41OC;;;;/media/import/fotosweb/versace/152/versace_152-226_2.jpg;;;PALAZZO LEATHER POUCH;100% Leather;Alto: 	13	cm<br/>Ancho: 	20	cm<br/>Fondo: 	7	cm;/media/import/fotosweb/versace/152/versace_152-226_1.jpg;/media/import/fotosweb/versace/152/versace_152-226_2.jpg;Height: 	13	cm<br/>Width: 	20	cm<br/>Depth: 	7	cm;SLOT 32070;;OS;;495.87;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,7;P8E663BLVT41OC;P8E663BLVT41OCUNICANEROGOLD;Habilitado;Catálogo, Búsqueda;;POUCH PALAZZO PIEL;POUCH PALAZZO PIEL;;;IVA AL 21%;1;4;7;;OI15C;VERSACE;;;;;;PERMANENT;152;P8E663BLVT41OC;;;;/media/import/fotosweb/versace/152/versace_152-226_1.jpg;;;PALAZZO LEATHER POUCH;100% Leather;Alto: 	13	cm<br/>Ancho: 	20	cm<br/>Fondo: 	7	cm;/media/import/fotosweb/versace/152/versace_152-226_1.jpg;/media/import/fotosweb/versace/152/versace_152-226_2.jpg;Height: 	13	cm<br/>Width: 	20	cm<br/>Depth: 	7	cm;SLOT 32070;;OS;;495.87;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,7;P8E663BLVT41OC;P8E663BLVT41OCUNICANEROGOLD;Habilitado;Catálogo, Búsqueda;;POUCH PALAZZO PIEL;POUCH PALAZZO PIEL;;;IVA AL 21%;1;4;7;;OI15C;VERSACE;;;;;;PERMANENT;152;P8E663BLVT41OC;;;;/media/import/fotosweb/versace/152/versace_152-226_0.jpg;;;PALAZZO LEATHER POUCH;100% Leather;Alto: 	13	cm<br/>Ancho: 	20	cm<br/>Fondo: 	7	cm;/media/import/fotosweb/versace/152/versace_152-226_1.jpg;/media/import/fotosweb/versace/152/versace_152-226_2.jpg;Height: 	13	cm<br/>Width: 	20	cm<br/>Depth: 	7	cm;SLOT 32070;;OS;;495.87;30/12/99;30/12/99;.00;;1;;;1;;;
