store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;1303DH14212003XUNICARED;;Habilitado;Not Visible Individually;116367;BOLSO SMILEY SLOUCHY CREMALLERA;BOLSO SMILEY SLOUCHY CREMALLERA;;;IVA AL 21%;1;4;1;;OI15P;ANYA HINDMARCH;UNICA;RED;1163671;;;SEASONAL;152;1303DH14212003X;;F;01/01/99;/media/import/fotosweb/anya_hindmarch/152/anya_hindmarch_152-004_0.jpg;;;SLOUCHY SMILEY ZIPPED BAG;100% Bos Taurus;Alto: 	24	cm<br/>Ancho: 	36	cm<br/>Fondo: 	18	cm;/media/import/fotosweb/anya_hindmarch/152/anya_hindmarch_152-004_1.jpg;/media/import/fotosweb/anya_hindmarch/152/anya_hindmarch_152-004_2.jpg;Height: 	24	cm<br/>Width: 	36	cm<br/>Depth: 	18	cm;;F;OS;4;823.14;;;;.00;1;12/08/15;11/09/15;1;;;-1806176639
admin;base;1;configurable;Default;talla,color;1,4,1;1303DH14212003X;1303DH14212003XUNICARED;Habilitado;Catálogo, Búsqueda;;BOLSO SMILEY SLOUCHY CREMALLERA;BOLSO SMILEY SLOUCHY CREMALLERA;;;IVA AL 21%;1;4;1;;OI15P;ANYA HINDMARCH;;;;;;SEASONAL;152;1303DH14212003X;;;;/media/import/fotosweb/anya_hindmarch/152/anya_hindmarch_152-004_2.jpg;;;SLOUCHY SMILEY ZIPPED BAG;100% Bos Taurus;Alto: 	24	cm<br/>Ancho: 	36	cm<br/>Fondo: 	18	cm;/media/import/fotosweb/anya_hindmarch/152/anya_hindmarch_152-004_1.jpg;/media/import/fotosweb/anya_hindmarch/152/anya_hindmarch_152-004_2.jpg;Height: 	24	cm<br/>Width: 	36	cm<br/>Depth: 	18	cm;;;OS;;823.14;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;1303DH14212003X;1303DH14212003XUNICARED;Habilitado;Catálogo, Búsqueda;;BOLSO SMILEY SLOUCHY CREMALLERA;BOLSO SMILEY SLOUCHY CREMALLERA;;;IVA AL 21%;1;4;1;;OI15P;ANYA HINDMARCH;;;;;;SEASONAL;152;1303DH14212003X;;;;/media/import/fotosweb/anya_hindmarch/152/anya_hindmarch_152-004_1.jpg;;;SLOUCHY SMILEY ZIPPED BAG;100% Bos Taurus;Alto: 	24	cm<br/>Ancho: 	36	cm<br/>Fondo: 	18	cm;/media/import/fotosweb/anya_hindmarch/152/anya_hindmarch_152-004_1.jpg;/media/import/fotosweb/anya_hindmarch/152/anya_hindmarch_152-004_2.jpg;Height: 	24	cm<br/>Width: 	36	cm<br/>Depth: 	18	cm;;;OS;;823.14;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;1303DH14212003X;1303DH14212003XUNICARED;Habilitado;Catálogo, Búsqueda;;BOLSO SMILEY SLOUCHY CREMALLERA;BOLSO SMILEY SLOUCHY CREMALLERA;;;IVA AL 21%;1;4;1;;OI15P;ANYA HINDMARCH;;;;;;SEASONAL;152;1303DH14212003X;;;;/media/import/fotosweb/anya_hindmarch/152/anya_hindmarch_152-004_0.jpg;;;SLOUCHY SMILEY ZIPPED BAG;100% Bos Taurus;Alto: 	24	cm<br/>Ancho: 	36	cm<br/>Fondo: 	18	cm;/media/import/fotosweb/anya_hindmarch/152/anya_hindmarch_152-004_1.jpg;/media/import/fotosweb/anya_hindmarch/152/anya_hindmarch_152-004_2.jpg;Height: 	24	cm<br/>Width: 	36	cm<br/>Depth: 	18	cm;;;OS;;823.14;;;;;1;;;1;;;
