store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;FBD1128FNAPF121UNICABORDEAUXNI;;Habilitado;Not Visible Individually;115364;BOLSO LEON CIRCULO;BOLSO LEON CIRCULO;;;IVA AL 21%;1;4;1;;OI15C;VERSUS;UNICA;BORDEAUXNI;1153641;;;;152;FBD1128FNAPF121;;F;01/01/99;/media/import/fotosweb/versus/152/versus_152-019_0.jpg;;;LION CIRCLE BAG;100% Leather;Alto: 	16	cm<br/>Ancho: 	17,5	cm<br/>Fondo: 	4,5	cm;/media/import/fotosweb/versus/152/versus_152-019_1.jpg;/media/import/fotosweb/versus/152/versus_152-019_2.jpg;Height: 	16	cm<br/>Width: 	17,5	cm<br/>Depth: 	4,5	cm;SLOT 32954;F;OS;4;267.77;30/12/99;30/12/99;.00;1.00;1;18/08/15;17/09/15;1;;;1695633841
admin;base;1;configurable;Default;talla,color;1,4,1;FBD1128FNAPF121;FBD1128FNAPF121UNICABORDEAUXNI;Habilitado;Catálogo, Búsqueda;;BOLSO LEON CIRCULO;BOLSO LEON CIRCULO;;;IVA AL 21%;1;4;1;;OI15C;VERSUS;;;;;;;152;FBD1128FNAPF121;;;;/media/import/fotosweb/versus/152/versus_152-019_2.jpg;;;LION CIRCLE BAG;100% Leather;Alto: 	16	cm<br/>Ancho: 	17,5	cm<br/>Fondo: 	4,5	cm;/media/import/fotosweb/versus/152/versus_152-019_1.jpg;/media/import/fotosweb/versus/152/versus_152-019_2.jpg;Height: 	16	cm<br/>Width: 	17,5	cm<br/>Depth: 	4,5	cm;SLOT 32954;;OS;;267.77;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;FBD1128FNAPF121;FBD1128FNAPF121UNICABORDEAUXNI;Habilitado;Catálogo, Búsqueda;;BOLSO LEON CIRCULO;BOLSO LEON CIRCULO;;;IVA AL 21%;1;4;1;;OI15C;VERSUS;;;;;;;152;FBD1128FNAPF121;;;;/media/import/fotosweb/versus/152/versus_152-019_1.jpg;;;LION CIRCLE BAG;100% Leather;Alto: 	16	cm<br/>Ancho: 	17,5	cm<br/>Fondo: 	4,5	cm;/media/import/fotosweb/versus/152/versus_152-019_1.jpg;/media/import/fotosweb/versus/152/versus_152-019_2.jpg;Height: 	16	cm<br/>Width: 	17,5	cm<br/>Depth: 	4,5	cm;SLOT 32954;;OS;;267.77;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;FBD1128FNAPF121;FBD1128FNAPF121UNICABORDEAUXNI;Habilitado;Catálogo, Búsqueda;;BOLSO LEON CIRCULO;BOLSO LEON CIRCULO;;;IVA AL 21%;1;4;1;;OI15C;VERSUS;;;;;;;152;FBD1128FNAPF121;;;;/media/import/fotosweb/versus/152/versus_152-019_0.jpg;;;LION CIRCLE BAG;100% Leather;Alto: 	16	cm<br/>Ancho: 	17,5	cm<br/>Fondo: 	4,5	cm;/media/import/fotosweb/versus/152/versus_152-019_1.jpg;/media/import/fotosweb/versus/152/versus_152-019_2.jpg;Height: 	16	cm<br/>Width: 	17,5	cm<br/>Depth: 	4,5	cm;SLOT 32954;;OS;;267.77;30/12/99;30/12/99;.00;;1;;;1;;;
