store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM;repetidos
admin;base;1;configurable;Default;talla,color;2,3,1;112--;112--40BURGUNDY,112--41BURGUNDY,112--42BURGUNDY,112--43BURGUNDY,112--44BURGUNDY,112--45BURGUNDY;Habilitado;Catálogo, Búsqueda;;SNEAKERS ZIP CONTRASTE;SNEAKERS ZIP CONTRASTE;;;IVA AL 21%;2;3;1;;OI14C;PIERRE HARDY;;;;;;;142;112--;;;;/media/import/fotosweb/pierre_hardy/142/pierre_hardy05_2.jpg;;;CONTRAST ZIP SNEAKERS;UPP 100%NAPPA CALF - RUBBER SOLE;;/media/import/fotosweb/pierre_hardy/142/pierre_hardy05_1.jpg;/media/import/fotosweb/pierre_hardy/142/pierre_hardy05_2.jpg;;SLOT 78;;IT;;354.55;09/01/15;31/12/50;177.69;;1;;;1;354.55;106.61;;1
admin;base;1;configurable;Default;talla,color;1,1,6;12124;1212438PINK,1212440PINK,1212442PINK,1212444PINK;Habilitado;Catálogo, Búsqueda;;VESTIDO APLICACIONES ;VESTIDO APLICACIONES ;;;IVA AL 21%;1;1;6;;OI14C;JUAN VIDAL;;;;;;;142;12124;;;;/media/import/fotosweb/juan_vidal/142/vestidoaplicacionespink2.jpg;;;APLIQUE DRESS;100% POLYESTER;;/media/import/fotosweb/juan_vidal/142/vestidoaplicacionespink1.jpg;/media/import/fotosweb/juan_vidal/142/vestidoaplicacionespink2.jpg;;SLOT 62;;IT;;598.35;09/01/15;31/12/50;299.17;;1;;;1;598.35;180.17;;1
admin;base;1;configurable;Default;talla,color;2,1,6;14-00641M;14-00641M3GREEN,14-00641M4GREEN;Habilitado;Catálogo, Búsqueda;;PERFECTO CHALECO INCORPORADO;PERFECTO CHALECO INCORPORADO;;;IVA AL 21%;2;1;6;;OI14C;SACAI;;;;;;;142;14-00641M;;;;/media/import/fotosweb/sacai/142/sacai01_2.jpg;;;ATTACHED VEST PERFECTO JACKET;59% WOOL 41% COTTON;;/media/import/fotosweb/sacai/142/sacai01_1.jpg;/media/import/fotosweb/sacai/142/sacai01_2.jpg;;SLOT ASOCIADO 41;;STANDARD;;1001.65;09/01/15;31/12/50;500.83;;1;;;1;1001.65;300.83;;1
admin;base;1;configurable;Default;talla,color;2,1,6;14-00657M;14-00657M2GRAY,14-00657M3GRAY,14-00657M4GRAY;Habilitado;Catálogo, Búsqueda;;CHAQUETA PUNTO LIGERA;CHAQUETA PUNTO LIGERA;;;IVA AL 21%;2;1;6;;OI14C;SACAI;;;;;;;142;14-00657M;;;;/media/import/fotosweb/sacai/142/sacai02_2.jpg;;;LIGHT KNIT JACKET;100% WOOL;;/media/import/fotosweb/sacai/142/sacai02_1.jpg;/media/import/fotosweb/sacai/142/sacai02_2.jpg;;SLOT 83;;STANDARD;;454.55;09/01/15;31/12/50;227.27;;1;;;1;454.55;136.36;;1
admin;base;1;configurable;Default;talla,color;2,1,5;14-00659M;14-00659M2GRAY,14-00659M2NAVY,14-00659M3GRAY,14-00659M3NAVY,14-00659M4GRAY,14-00659M4NAVY;Habilitado;Catálogo, Búsqueda;;PANTALON PUNTO TOBILLERO;PANTALON PUNTO TOBILLERO;;;IVA AL 21%;2;1;5;;OI14C;SACAI;;;;;;;142;14-00659M;;;;/media/import/fotosweb/sacai/142/sacai04_2.jpg;;;KID ANKLE KNOT TROUSERS;100% WOOL;;/media/import/fotosweb/sacai/142/sacai04_1.jpg;/media/import/fotosweb/sacai/142/sacai04_2.jpg;;SLOT 84;;STANDARD;;390.91;09/01/15;31/12/50;195.87;;1;;;1;390.91;117.36;;1
admin;base;1;configurable;Default;talla,color;2,1,3;14-00660M;14-00660M1NAVY,14-00660M2NAVY,14-00660M3NAVY,14-00660M4NAVY;Habilitado;Catálogo, Búsqueda;;CARDIGAN RAYAS HORIZONTALES;CARDIGAN RAYAS HORIZONTALES;;;IVA AL 21%;2;1;3;;OI14C;SACAI;;;;;;;142;14-00660M;;;;/media/import/fotosweb/sacai/142/sacai05_2.jpg;;;HORIZONTAL STRIPES CARDIGAN;40% RAYON 28% WOOL 20% NYLON 12% ANGORA;;/media/import/fotosweb/sacai/142/sacai05_1.jpg;/media/import/fotosweb/sacai/142/sacai05_2.jpg;;SLOT 83;;STANDARD;;328.93;09/01/15;31/12/50;164.46;;1;;;1;328.93;99.17;;1
admin;base;1;configurable;Default;talla,color;2,1,3;14-00661M;14-00661M2NAVY,14-00661M3NAVY,14-00661M4NAVY;Habilitado;Catálogo, Búsqueda;;JERSEY RAYAS HORIZONTALES;JERSEY RAYAS HORIZONTALES;;;IVA AL 21%;2;1;3;;OI14C;SACAI;;;;;;;142;14-00661M;;;;/media/import/fotosweb/sacai/142/sacai06_2.jpg;;;HORIZONTAL STRIPES PULLOVER;40% RAYON 28% WOOL 20% NYLON 12% ANGORA;;/media/import/fotosweb/sacai/142/sacai06_1.jpg;/media/import/fotosweb/sacai/142/sacai06_2.jpg;;SLOT 83;;STANDARD;;300.00;09/01/15;31/12/50;150.41;;1;;;1;300.00;90.08;;1
admin;base;1;configurable;Default;talla,color;2,2,4;14-00662M;14-00662MUNICANAVY;Habilitado;Catálogo, Búsqueda;;BUFANDA RAYAS PANEL;BUFANDA RAYAS PANEL;;;IVA AL 21%;2;2;4;;OI14C;SACAI;;;;;;;142;14-00662M;;;;;;;PANNELED STRIPES SCARF;40% RAYON 28% WOOL 20% NYLON 12% ANGORA;;/media/import/fotosweb/sacai/142/sacai14_1.jpg;;;SLOT 83;;OS;;223.97;09/01/15;31/12/50;112.40;;1;;;1;223.97;67.77;;1
admin;base;1;configurable;Default;talla,color;2,1,3;14-00667M;14-00667M2BLUE,14-00667M3BLUE;Habilitado;Catálogo, Búsqueda;;CARDIGAN MIX ANGORA;CARDIGAN MIX ANGORA;;;IVA AL 21%;2;1;3;;OI14C;SACAI;;;;;;;142;14-00667M;;;;/media/import/fotosweb/sacai/142/sacai08_2.jpg;;;MIXED ANGORA CARDIGAN;100% WOOL 70% ANGORA 30% NYLON;;/media/import/fotosweb/sacai/142/sacai08_1.jpg;/media/import/fotosweb/sacai/142/sacai08_2.jpg;;SLOT 83;;STANDARD;;511.57;09/01/15;31/12/50;256.20;;1;;;1;511.57;153.72;;1
admin;base;1;configurable;Default;talla,color;2,1,3;14-00671M;14-00671M1NAVY,14-00671M2NAVY,14-00671M3NAVY,14-00671M4NAVY;Habilitado;Catálogo, Búsqueda;;SUDADERA ETNICA LAQUE;SUDADERA ETNICA LAQUE;;;IVA AL 21%;2;1;3;;OI14C;SACAI;;;;;;;142;14-00671M;;;;/media/import/fotosweb/sacai/142/sacai10_2.jpg;;;LAQUERED ETHNIC SWEATSHIRT;100% COTTON;;/media/import/fotosweb/sacai/142/sacai10_1.jpg;/media/import/fotosweb/sacai/142/sacai10_2.jpg;;SLOT 84;;STANDARD;;168.60;09/01/15;31/12/50;84.30;;1;;;1;168.60;51.24;;1
