store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;BB05250786960UNICAMULTICOLOR;;Habilitado;Not Visible Individually;116431;BOLSO PANDORA PEACOCK FEATHER;BOLSO PANDORA PEACOCK FEATHER;;;IVA AL 21%;1;4;1;;OI15C;GIVENCHY;UNICA;MULTICOLOR;1164311;;;PERMANENT;152;BB05250786960;;F;01/01/99;/media/import/fotosweb/givenchy/152/givenchy_152-115_0.jpg;;;PEACOCK FEATHER PANDORA BAG;100% Calf Leather;Alto: 	19	cm<br/>Ancho: 	32	cm<br/>Fondo: 	14	cm;/media/import/fotosweb/givenchy/152/givenchy_152-115_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-115_2.jpg;Height: 	19	cm<br/>Width: 	32	cm<br/>Depth: 	14	cm;;F;OS;4;1446.28;30/12/99;30/12/99;.00;1.00;1;25/08/15;24/09/15;1;;;-1610057568
admin;base;1;configurable;Default;talla,color;1,4,1;BB05250786960;BB05250786960UNICAMULTICOLOR;Habilitado;Catálogo, Búsqueda;;BOLSO PANDORA PEACOCK FEATHER;BOLSO PANDORA PEACOCK FEATHER;;;IVA AL 21%;1;4;1;;OI15C;GIVENCHY;;;;;;PERMANENT;152;BB05250786960;;;;/media/import/fotosweb/givenchy/152/givenchy_152-115_2.jpg;;;PEACOCK FEATHER PANDORA BAG;100% Calf Leather;Alto: 	19	cm<br/>Ancho: 	32	cm<br/>Fondo: 	14	cm;/media/import/fotosweb/givenchy/152/givenchy_152-115_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-115_2.jpg;Height: 	19	cm<br/>Width: 	32	cm<br/>Depth: 	14	cm;;;OS;;1446.28;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BB05250786960;BB05250786960UNICAMULTICOLOR;Habilitado;Catálogo, Búsqueda;;BOLSO PANDORA PEACOCK FEATHER;BOLSO PANDORA PEACOCK FEATHER;;;IVA AL 21%;1;4;1;;OI15C;GIVENCHY;;;;;;PERMANENT;152;BB05250786960;;;;/media/import/fotosweb/givenchy/152/givenchy_152-115_1.jpg;;;PEACOCK FEATHER PANDORA BAG;100% Calf Leather;Alto: 	19	cm<br/>Ancho: 	32	cm<br/>Fondo: 	14	cm;/media/import/fotosweb/givenchy/152/givenchy_152-115_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-115_2.jpg;Height: 	19	cm<br/>Width: 	32	cm<br/>Depth: 	14	cm;;;OS;;1446.28;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BB05250786960;BB05250786960UNICAMULTICOLOR;Habilitado;Catálogo, Búsqueda;;BOLSO PANDORA PEACOCK FEATHER;BOLSO PANDORA PEACOCK FEATHER;;;IVA AL 21%;1;4;1;;OI15C;GIVENCHY;;;;;;PERMANENT;152;BB05250786960;;;;/media/import/fotosweb/givenchy/152/givenchy_152-115_0.jpg;;;PEACOCK FEATHER PANDORA BAG;100% Calf Leather;Alto: 	19	cm<br/>Ancho: 	32	cm<br/>Fondo: 	14	cm;/media/import/fotosweb/givenchy/152/givenchy_152-115_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-115_2.jpg;Height: 	19	cm<br/>Width: 	32	cm<br/>Depth: 	14	cm;;;OS;;1446.28;30/12/99;30/12/99;.00;;1;;;1;;;
