store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;392007KLX4N9260UNICABEIG/NOIR;;Habilitado;Not Visible Individually;116272;MOCHILA CANVAS LOGO;MOCHILA CANVAS LOGO;;;IVA AL 21%;2;4;5;;OI15C;BALENCIAGA;UNICA;BEIG/NOIR;1162721;;;SEASONAL;152;392007KLX4N9260;;F;01/01/99;/media/import/fotosweb/balenciaga/152/balenciaga_152-021_0.jpg;;;LOGO CANVAS BACKPACK;40% Calf Leather, 25% Cotton, 25% Linen/Flax, 10% Polyurethane;Alto: 	45	cm<br/>Ancho: 	32	cm<br/>Fondo: 	13	cm;/media/import/fotosweb/balenciaga/152/balenciaga_152-021_1.jpg;/media/import/fotosweb/balenciaga/152/balenciaga_152-021_2.jpg;Height: 	45	cm<br/>Width: 	32	cm<br/>Depth: 	13	cm;;F;OS;4;738.84;;;;.00;1;12/08/15;11/09/15;1;;;-700223807
admin;base;1;configurable;Default;talla,color;2,4,5;392007KLX4N9260;392007KLX4N9260UNICABEIG/NOIR;Habilitado;Catálogo, Búsqueda;;MOCHILA CANVAS LOGO;MOCHILA CANVAS LOGO;;;IVA AL 21%;2;4;5;;OI15C;BALENCIAGA;;;;;;SEASONAL;152;392007KLX4N9260;;;;/media/import/fotosweb/balenciaga/152/balenciaga_152-021_2.jpg;;;LOGO CANVAS BACKPACK;40% Calf Leather, 25% Cotton, 25% Linen/Flax, 10% Polyurethane;Alto: 	45	cm<br/>Ancho: 	32	cm<br/>Fondo: 	13	cm;/media/import/fotosweb/balenciaga/152/balenciaga_152-021_1.jpg;/media/import/fotosweb/balenciaga/152/balenciaga_152-021_2.jpg;Height: 	45	cm<br/>Width: 	32	cm<br/>Depth: 	13	cm;;;OS;;738.84;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,4,5;392007KLX4N9260;392007KLX4N9260UNICABEIG/NOIR;Habilitado;Catálogo, Búsqueda;;MOCHILA CANVAS LOGO;MOCHILA CANVAS LOGO;;;IVA AL 21%;2;4;5;;OI15C;BALENCIAGA;;;;;;SEASONAL;152;392007KLX4N9260;;;;/media/import/fotosweb/balenciaga/152/balenciaga_152-021_1.jpg;;;LOGO CANVAS BACKPACK;40% Calf Leather, 25% Cotton, 25% Linen/Flax, 10% Polyurethane;Alto: 	45	cm<br/>Ancho: 	32	cm<br/>Fondo: 	13	cm;/media/import/fotosweb/balenciaga/152/balenciaga_152-021_1.jpg;/media/import/fotosweb/balenciaga/152/balenciaga_152-021_2.jpg;Height: 	45	cm<br/>Width: 	32	cm<br/>Depth: 	13	cm;;;OS;;738.84;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,4,5;392007KLX4N9260;392007KLX4N9260UNICABEIG/NOIR;Habilitado;Catálogo, Búsqueda;;MOCHILA CANVAS LOGO;MOCHILA CANVAS LOGO;;;IVA AL 21%;2;4;5;;OI15C;BALENCIAGA;;;;;;SEASONAL;152;392007KLX4N9260;;;;/media/import/fotosweb/balenciaga/152/balenciaga_152-021_0.jpg;;;LOGO CANVAS BACKPACK;40% Calf Leather, 25% Cotton, 25% Linen/Flax, 10% Polyurethane;Alto: 	45	cm<br/>Ancho: 	32	cm<br/>Fondo: 	13	cm;/media/import/fotosweb/balenciaga/152/balenciaga_152-021_1.jpg;/media/import/fotosweb/balenciaga/152/balenciaga_152-021_2.jpg;Height: 	45	cm<br/>Width: 	32	cm<br/>Depth: 	13	cm;;;OS;;738.84;;;;;1;;;1;;;
