store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;BB05310325960UNICAMULTICOLOR;;Habilitado;Not Visible Individually;116484;BOLSO ANTIGONA SHOPPING LEOPARDO;BOLSO ANTIGONA SHOPPING LEOPARDO;;;IVA AL 21%;1;4;1;;OI15P;GIVENCHY;UNICA;MULTICOLOR;1164841;;;;152;BB05310325960;;F;01/01/99;/media/import/fotosweb/givenchy/152/givenchy_152-097_0.jpg;;;SHOPPING LEOPARD ANTIGONA BAG;54% Polyurethane, 23% Cotton, 23% Polyester;Alto: 	33	cm<br/>Ancho: 	39	cm<br/>Fondo: 	20	cm;/media/import/fotosweb/givenchy/152/givenchy_152-097_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-097_2.jpg;Height: 	33	cm<br/>Width: 	39	cm<br/>Depth: 	20	cm;;F;OS;4;702.48;30/12/99;30/12/99;.00;5.00;1;12/08/15;11/09/15;1;;;1895395615
admin;base;1;configurable;Default;talla,color;1,4,1;BB05310325960;BB05310325960UNICAMULTICOLOR;Habilitado;Catálogo, Búsqueda;;BOLSO ANTIGONA SHOPPING LEOPARDO;BOLSO ANTIGONA SHOPPING LEOPARDO;;;IVA AL 21%;1;4;1;;OI15P;GIVENCHY;;;;;;;152;BB05310325960;;;;/media/import/fotosweb/givenchy/152/givenchy_152-097_2.jpg;;;SHOPPING LEOPARD ANTIGONA BAG;54% Polyurethane, 23% Cotton, 23% Polyester;Alto: 	33	cm<br/>Ancho: 	39	cm<br/>Fondo: 	20	cm;/media/import/fotosweb/givenchy/152/givenchy_152-097_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-097_2.jpg;Height: 	33	cm<br/>Width: 	39	cm<br/>Depth: 	20	cm;;;OS;;702.48;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BB05310325960;BB05310325960UNICAMULTICOLOR;Habilitado;Catálogo, Búsqueda;;BOLSO ANTIGONA SHOPPING LEOPARDO;BOLSO ANTIGONA SHOPPING LEOPARDO;;;IVA AL 21%;1;4;1;;OI15P;GIVENCHY;;;;;;;152;BB05310325960;;;;/media/import/fotosweb/givenchy/152/givenchy_152-097_1.jpg;;;SHOPPING LEOPARD ANTIGONA BAG;54% Polyurethane, 23% Cotton, 23% Polyester;Alto: 	33	cm<br/>Ancho: 	39	cm<br/>Fondo: 	20	cm;/media/import/fotosweb/givenchy/152/givenchy_152-097_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-097_2.jpg;Height: 	33	cm<br/>Width: 	39	cm<br/>Depth: 	20	cm;;;OS;;702.48;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BB05310325960;BB05310325960UNICAMULTICOLOR;Habilitado;Catálogo, Búsqueda;;BOLSO ANTIGONA SHOPPING LEOPARDO;BOLSO ANTIGONA SHOPPING LEOPARDO;;;IVA AL 21%;1;4;1;;OI15P;GIVENCHY;;;;;;;152;BB05310325960;;;;/media/import/fotosweb/givenchy/152/givenchy_152-097_0.jpg;;;SHOPPING LEOPARD ANTIGONA BAG;54% Polyurethane, 23% Cotton, 23% Polyester;Alto: 	33	cm<br/>Ancho: 	39	cm<br/>Fondo: 	20	cm;/media/import/fotosweb/givenchy/152/givenchy_152-097_1.jpg;/media/import/fotosweb/givenchy/152/givenchy_152-097_2.jpg;Height: 	33	cm<br/>Width: 	39	cm<br/>Depth: 	20	cm;;;OS;;702.48;30/12/99;30/12/99;.00;;1;;;1;;;
