store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;BSE591BVTL8MOCUNICABLUEGOLD;;Habilitado;Not Visible Individually;116071;CLUTCH PALAZZO COLOR;CLUTCH PALAZZO COLOR;;;IVA AL 21%;1;4;4;;OI15C;VERSACE;UNICA;BLUEGOLD;1160711;;;PERMANENT;152;BSE591BVTL8MOC;;F;01/01/99;/media/import/fotosweb/versace/152/versace_152-282_0.jpg;;;PALAZZO COLOURED CLUTCH;100% Leather;Alto: 	14	cm<br/>Ancho: 	21	cm<br/>Fondo: 	3,5	cm;/media/import/fotosweb/versace/152/versace_152-282_1.jpg;/media/import/fotosweb/versace/152/versace_152-282_2.jpg;Height: 	14	cm<br/>Width: 	21	cm<br/>Depth: 	3,5	cm;SLOT 32954;F;OS;4;520.66;30/12/99;30/12/99;.00;.00;1;18/08/15;17/09/15;1;;;83812815
admin;base;1;configurable;Default;talla,color;1,4,4;BSE591BVTL8MOC;BSE591BVTL8MOCUNICABLUEGOLD;Habilitado;Catálogo, Búsqueda;;CLUTCH PALAZZO COLOR;CLUTCH PALAZZO COLOR;;;IVA AL 21%;1;4;4;;OI15C;VERSACE;;;;;;PERMANENT;152;BSE591BVTL8MOC;;;;/media/import/fotosweb/versace/152/versace_152-282_2.jpg;;;PALAZZO COLOURED CLUTCH;100% Leather;Alto: 	14	cm<br/>Ancho: 	21	cm<br/>Fondo: 	3,5	cm;/media/import/fotosweb/versace/152/versace_152-282_1.jpg;/media/import/fotosweb/versace/152/versace_152-282_2.jpg;Height: 	14	cm<br/>Width: 	21	cm<br/>Depth: 	3,5	cm;SLOT 32954;;OS;;520.66;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,4;BSE591BVTL8MOC;BSE591BVTL8MOCUNICABLUEGOLD;Habilitado;Catálogo, Búsqueda;;CLUTCH PALAZZO COLOR;CLUTCH PALAZZO COLOR;;;IVA AL 21%;1;4;4;;OI15C;VERSACE;;;;;;PERMANENT;152;BSE591BVTL8MOC;;;;/media/import/fotosweb/versace/152/versace_152-282_1.jpg;;;PALAZZO COLOURED CLUTCH;100% Leather;Alto: 	14	cm<br/>Ancho: 	21	cm<br/>Fondo: 	3,5	cm;/media/import/fotosweb/versace/152/versace_152-282_1.jpg;/media/import/fotosweb/versace/152/versace_152-282_2.jpg;Height: 	14	cm<br/>Width: 	21	cm<br/>Depth: 	3,5	cm;SLOT 32954;;OS;;520.66;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,4;BSE591BVTL8MOC;BSE591BVTL8MOCUNICABLUEGOLD;Habilitado;Catálogo, Búsqueda;;CLUTCH PALAZZO COLOR;CLUTCH PALAZZO COLOR;;;IVA AL 21%;1;4;4;;OI15C;VERSACE;;;;;;PERMANENT;152;BSE591BVTL8MOC;;;;/media/import/fotosweb/versace/152/versace_152-282_0.jpg;;;PALAZZO COLOURED CLUTCH;100% Leather;Alto: 	14	cm<br/>Ancho: 	21	cm<br/>Fondo: 	3,5	cm;/media/import/fotosweb/versace/152/versace_152-282_1.jpg;/media/import/fotosweb/versace/152/versace_152-282_2.jpg;Height: 	14	cm<br/>Width: 	21	cm<br/>Depth: 	3,5	cm;SLOT 32954;;OS;;520.66;30/12/99;30/12/99;.00;;1;;;1;;;
