store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;BFF043NNNPMLJLUNICAMULT/LUN;;Habilitado;Not Visible Individually;114399;BOLSO PALAZZO SOLAPA TONO SOBRE TONO;BOLSO PALAZZO SOLAPA TONO SOBRE TONO;;-1;IVA AL 21%;1;4;1;;OI15R;VERSACE;UNICA;MULT/LUN;1143991;;;;152;BFF043NNNPMLJL;;F;01/01/99;/media/import/fotosweb/versace/152/versace_152-116_0.jpg;;;PALAZZO TONE ON TONE FLAG BAG;100% Leather;Alto: 	23	cm<br/>Ancho: 	29	cm<br/>Fondo: 	12	cm;/media/import/fotosweb/versace/152/versace_152-116_1.jpg;/media/import/fotosweb/versace/152/versace_152-116_2.jpg;Height: 	23	cm<br/>Width: 	29	cm<br/>Depth: 	12	cm;SLOT 136;F;OS;4;1504.13;30/12/99;30/12/99;.00;.00;1;04/06/15;04/07/15;1;;;-350117587
admin;base;1;configurable;Default;talla,color;1,4,1;BFF043NNNPMLJL;BFF043NNNPMLJLUNICAMULT/LUN;Habilitado;Catálogo, Búsqueda;;BOLSO PALAZZO SOLAPA TONO SOBRE TONO;BOLSO PALAZZO SOLAPA TONO SOBRE TONO;;;IVA AL 21%;1;4;1;;OI15R;VERSACE;;;;;;;152;BFF043NNNPMLJL;;;;/media/import/fotosweb/versace/152/versace_152-116_2.jpg;;;PALAZZO TONE ON TONE FLAG BAG;100% Leather;Alto: 	23	cm<br/>Ancho: 	29	cm<br/>Fondo: 	12	cm;/media/import/fotosweb/versace/152/versace_152-116_1.jpg;/media/import/fotosweb/versace/152/versace_152-116_2.jpg;Height: 	23	cm<br/>Width: 	29	cm<br/>Depth: 	12	cm;SLOT 136;;OS;;1504.13;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BFF043NNNPMLJL;BFF043NNNPMLJLUNICAMULT/LUN;Habilitado;Catálogo, Búsqueda;;BOLSO PALAZZO SOLAPA TONO SOBRE TONO;BOLSO PALAZZO SOLAPA TONO SOBRE TONO;;;IVA AL 21%;1;4;1;;OI15R;VERSACE;;;;;;;152;BFF043NNNPMLJL;;;;/media/import/fotosweb/versace/152/versace_152-116_1.jpg;;;PALAZZO TONE ON TONE FLAG BAG;100% Leather;Alto: 	23	cm<br/>Ancho: 	29	cm<br/>Fondo: 	12	cm;/media/import/fotosweb/versace/152/versace_152-116_1.jpg;/media/import/fotosweb/versace/152/versace_152-116_2.jpg;Height: 	23	cm<br/>Width: 	29	cm<br/>Depth: 	12	cm;SLOT 136;;OS;;1504.13;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BFF043NNNPMLJL;BFF043NNNPMLJLUNICAMULT/LUN;Habilitado;Catálogo, Búsqueda;;BOLSO PALAZZO SOLAPA TONO SOBRE TONO;BOLSO PALAZZO SOLAPA TONO SOBRE TONO;;;IVA AL 21%;1;4;1;;OI15R;VERSACE;;;;;;;152;BFF043NNNPMLJL;;;;/media/import/fotosweb/versace/152/versace_152-116_0.jpg;;;PALAZZO TONE ON TONE FLAG BAG;100% Leather;Alto: 	23	cm<br/>Ancho: 	29	cm<br/>Fondo: 	12	cm;/media/import/fotosweb/versace/152/versace_152-116_1.jpg;/media/import/fotosweb/versace/152/versace_152-116_2.jpg;Height: 	23	cm<br/>Width: 	29	cm<br/>Depth: 	12	cm;SLOT 136;;OS;;1504.13;30/12/99;30/12/99;.00;;1;;;1;;;
