store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;Y1E044YD12E0133UNICARUBY;;Habilitado;Not Visible Individually;114534;BOLSO GINEVRA BUCKET COCO GRABADO;BOLSO GINEVRA BUCKET COCO GRABADO;;;IVA AL 21%;1;4;1;;OI15P;GIORGIO ARMANI;UNICA;RUBY;1145341;;;SEASONAL;152;Y1E044YD12E0133;;F;01/01/99;/media/import/fotosweb/giorgio_armani/152/giorgio_armani_152-026_0.jpg;;;EMBOSSED CROCODILE GINEVRA BUCKET BAG;90% Cotton, 10% Acrylic;Alto: 	23	cm<br/>Ancho: 	20	cm<br/>Fondo: 	13	cm;/media/import/fotosweb/giorgio_armani/152/giorgio_armani_152-026_1.jpg;/media/import/fotosweb/giorgio_armani/152/giorgio_armani_152-026_2.jpg;Height: 	23	cm<br/>Width: 	20	cm<br/>Depth: 	13	cm;SLOT 138;F;OS;4;963.64;25/09/15;30/09/15;675.21;.00;1;10/06/15;10/07/15;1;;;268774010
admin;base;1;configurable;Default;talla,color;1,4,1;Y1E044YD12E0133;Y1E044YD12E0133UNICARUBY;Habilitado;Catálogo, Búsqueda;;BOLSO GINEVRA BUCKET COCO GRABADO;BOLSO GINEVRA BUCKET COCO GRABADO;;;IVA AL 21%;1;4;1;;OI15P;GIORGIO ARMANI;;;;;;SEASONAL;152;Y1E044YD12E0133;;;;/media/import/fotosweb/giorgio_armani/152/giorgio_armani_152-026_2.jpg;;;EMBOSSED CROCODILE GINEVRA BUCKET BAG;90% Cotton, 10% Acrylic;Alto: 	23	cm<br/>Ancho: 	20	cm<br/>Fondo: 	13	cm;/media/import/fotosweb/giorgio_armani/152/giorgio_armani_152-026_1.jpg;/media/import/fotosweb/giorgio_armani/152/giorgio_armani_152-026_2.jpg;Height: 	23	cm<br/>Width: 	20	cm<br/>Depth: 	13	cm;SLOT 138;;OS;;963.64;25/09/15;30/09/15;675.21;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;Y1E044YD12E0133;Y1E044YD12E0133UNICARUBY;Habilitado;Catálogo, Búsqueda;;BOLSO GINEVRA BUCKET COCO GRABADO;BOLSO GINEVRA BUCKET COCO GRABADO;;;IVA AL 21%;1;4;1;;OI15P;GIORGIO ARMANI;;;;;;SEASONAL;152;Y1E044YD12E0133;;;;/media/import/fotosweb/giorgio_armani/152/giorgio_armani_152-026_1.jpg;;;EMBOSSED CROCODILE GINEVRA BUCKET BAG;90% Cotton, 10% Acrylic;Alto: 	23	cm<br/>Ancho: 	20	cm<br/>Fondo: 	13	cm;/media/import/fotosweb/giorgio_armani/152/giorgio_armani_152-026_1.jpg;/media/import/fotosweb/giorgio_armani/152/giorgio_armani_152-026_2.jpg;Height: 	23	cm<br/>Width: 	20	cm<br/>Depth: 	13	cm;SLOT 138;;OS;;963.64;25/09/15;30/09/15;675.21;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;Y1E044YD12E0133;Y1E044YD12E0133UNICARUBY;Habilitado;Catálogo, Búsqueda;;BOLSO GINEVRA BUCKET COCO GRABADO;BOLSO GINEVRA BUCKET COCO GRABADO;;;IVA AL 21%;1;4;1;;OI15P;GIORGIO ARMANI;;;;;;SEASONAL;152;Y1E044YD12E0133;;;;/media/import/fotosweb/giorgio_armani/152/giorgio_armani_152-026_0.jpg;;;EMBOSSED CROCODILE GINEVRA BUCKET BAG;90% Cotton, 10% Acrylic;Alto: 	23	cm<br/>Ancho: 	20	cm<br/>Fondo: 	13	cm;/media/import/fotosweb/giorgio_armani/152/giorgio_armani_152-026_1.jpg;/media/import/fotosweb/giorgio_armani/152/giorgio_armani_152-026_2.jpg;Height: 	23	cm<br/>Width: 	20	cm<br/>Depth: 	13	cm;SLOT 138;;OS;;963.64;25/09/15;30/09/15;675.21;;1;;;1;;;
admin;base;0;simple;Default;;;327950DC30O1000UNICABLACK;;Habilitado;Not Visible Individually;114748;BOLSO HEROINE MINI GRABADO COCO;BOLSO HEROINE MINI GRABADO COCO;;;IVA AL 21%;1;4;1;;OI15P;ALEXANDER MCQUEEN;UNICA;BLACK;1147481;;;SEASONAL;152;327950DC30O1000;;F;01/01/99;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-007_0.jpg;;;EMBOSSED MINI HEROINE BAG;100% Leather;Alto: 	20	cm<br/>Ancho: 	17,5	cm<br/>Fondo: 	9	cm;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-007_1.jpg;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-007_2.jpg;Height: 	20	cm<br/>Width: 	17,5	cm<br/>Depth: 	9	cm;;F;OS;4;1028.93;25/09/15;30/09/15;720.66;.00;1;07/08/15;06/09/15;1;;;-310592368
admin;base;1;configurable;Default;talla,color;1,4,1;327950DC30O1000;327950DC30O1000UNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO HEROINE MINI GRABADO COCO;BOLSO HEROINE MINI GRABADO COCO;;;IVA AL 21%;1;4;1;;OI15P;ALEXANDER MCQUEEN;;;;;;SEASONAL;152;327950DC30O1000;;;;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-007_2.jpg;;;EMBOSSED MINI HEROINE BAG;100% Leather;Alto: 	20	cm<br/>Ancho: 	17,5	cm<br/>Fondo: 	9	cm;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-007_1.jpg;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-007_2.jpg;Height: 	20	cm<br/>Width: 	17,5	cm<br/>Depth: 	9	cm;;;OS;;1028.93;25/09/15;30/09/15;720.66;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;327950DC30O1000;327950DC30O1000UNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO HEROINE MINI GRABADO COCO;BOLSO HEROINE MINI GRABADO COCO;;;IVA AL 21%;1;4;1;;OI15P;ALEXANDER MCQUEEN;;;;;;SEASONAL;152;327950DC30O1000;;;;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-007_1.jpg;;;EMBOSSED MINI HEROINE BAG;100% Leather;Alto: 	20	cm<br/>Ancho: 	17,5	cm<br/>Fondo: 	9	cm;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-007_1.jpg;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-007_2.jpg;Height: 	20	cm<br/>Width: 	17,5	cm<br/>Depth: 	9	cm;;;OS;;1028.93;25/09/15;30/09/15;720.66;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;327950DC30O1000;327950DC30O1000UNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO HEROINE MINI GRABADO COCO;BOLSO HEROINE MINI GRABADO COCO;;;IVA AL 21%;1;4;1;;OI15P;ALEXANDER MCQUEEN;;;;;;SEASONAL;152;327950DC30O1000;;;;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-007_0.jpg;;;EMBOSSED MINI HEROINE BAG;100% Leather;Alto: 	20	cm<br/>Ancho: 	17,5	cm<br/>Fondo: 	9	cm;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-007_1.jpg;/media/import/fotosweb/a_mcqueen/152/a_mcqueen_152-007_2.jpg;Height: 	20	cm<br/>Width: 	17,5	cm<br/>Depth: 	9	cm;;;OS;;1028.93;25/09/15;30/09/15;720.66;;1;;;1;;;
