store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;BG190LEBERRYUNICABERRY;;Habilitado;Not Visible Individually;119599;BOLSO SADDLE BANDOLERA PLACA MD;BOLSO SADDLE BANDOLERA PLACA MD;;;IVA AL 21%;1;4;5;;PV16R;SOPHIE HULME;UNICA;BERRY;1195991;;;SEASONAL;161;BG190LEBERRY;;F;01/01/99;/media/import/fotosweb/sophie_hulme/161/sophie_hulme_161-001_0.jpg;;;PLATES MEDIUM SADDLE BAG;100% Calf Leather;<P>Bolso Saddle bandolera con detalles en tonos dorados, cierre con solapa, correa ajustable y bolsillo interior.</P><P>Este artículo incluye una funda protectora.</P>Alto: 	13	cm<br/>Ancho: 	23	cm<br/>Fondo: 	7	cm;/media/import/fotosweb/sophie_hulme/161/sophie_hulme_161-001_1.jpg;/media/import/fotosweb/sophie_hulme/161/sophie_hulme_161-001_2.jpg;<P>Leather Saddle bag featuring signature gold tone hardware, a flap closure, adjustable cross body strap and an inside slip pocket.</P><P>This item comes with a dust bag.</P>Height: 	13	cm<br/>Width: 	23	cm<br/>Depth: 	7	cm;SLOT 34952;F;OS;4;532.23;;;;1.00;1;19/11/15;19/12/15;1;;;750033166
admin;base;1;configurable;Default;talla,color;1,4,5;BG190LEBERRY;BG190LEBERRYUNICABERRY;Habilitado;Catálogo, Búsqueda;;BOLSO SADDLE BANDOLERA PLACA MD;BOLSO SADDLE BANDOLERA PLACA MD;;;IVA AL 21%;1;4;5;;PV16R;SOPHIE HULME;;;;;;SEASONAL;161;BG190LEBERRY;;;;/media/import/fotosweb/sophie_hulme/161/sophie_hulme_161-001_2.jpg;;;PLATES MEDIUM SADDLE BAG;100% Calf Leather;<P>Bolso Saddle bandolera con detalles en tonos dorados, cierre con solapa, correa ajustable y bolsillo interior.</P><P>Este artículo incluye una funda protectora.</P>Alto: 	13	cm<br/>Ancho: 	23	cm<br/>Fondo: 	7	cm;/media/import/fotosweb/sophie_hulme/161/sophie_hulme_161-001_1.jpg;/media/import/fotosweb/sophie_hulme/161/sophie_hulme_161-001_2.jpg;<P>Leather Saddle bag featuring signature gold tone hardware, a flap closure, adjustable cross body strap and an inside slip pocket.</P><P>This item comes with a dust bag.</P>Height: 	13	cm<br/>Width: 	23	cm<br/>Depth: 	7	cm;SLOT 34952;;OS;;532.23;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,5;BG190LEBERRY;BG190LEBERRYUNICABERRY;Habilitado;Catálogo, Búsqueda;;BOLSO SADDLE BANDOLERA PLACA MD;BOLSO SADDLE BANDOLERA PLACA MD;;;IVA AL 21%;1;4;5;;PV16R;SOPHIE HULME;;;;;;SEASONAL;161;BG190LEBERRY;;;;/media/import/fotosweb/sophie_hulme/161/sophie_hulme_161-001_1.jpg;;;PLATES MEDIUM SADDLE BAG;100% Calf Leather;<P>Bolso Saddle bandolera con detalles en tonos dorados, cierre con solapa, correa ajustable y bolsillo interior.</P><P>Este artículo incluye una funda protectora.</P>Alto: 	13	cm<br/>Ancho: 	23	cm<br/>Fondo: 	7	cm;/media/import/fotosweb/sophie_hulme/161/sophie_hulme_161-001_1.jpg;/media/import/fotosweb/sophie_hulme/161/sophie_hulme_161-001_2.jpg;<P>Leather Saddle bag featuring signature gold tone hardware, a flap closure, adjustable cross body strap and an inside slip pocket.</P><P>This item comes with a dust bag.</P>Height: 	13	cm<br/>Width: 	23	cm<br/>Depth: 	7	cm;SLOT 34952;;OS;;532.23;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,5;BG190LEBERRY;BG190LEBERRYUNICABERRY;Habilitado;Catálogo, Búsqueda;;BOLSO SADDLE BANDOLERA PLACA MD;BOLSO SADDLE BANDOLERA PLACA MD;;;IVA AL 21%;1;4;5;;PV16R;SOPHIE HULME;;;;;;SEASONAL;161;BG190LEBERRY;;;;/media/import/fotosweb/sophie_hulme/161/sophie_hulme_161-001_0.jpg;;;PLATES MEDIUM SADDLE BAG;100% Calf Leather;<P>Bolso Saddle bandolera con detalles en tonos dorados, cierre con solapa, correa ajustable y bolsillo interior.</P><P>Este artículo incluye una funda protectora.</P>Alto: 	13	cm<br/>Ancho: 	23	cm<br/>Fondo: 	7	cm;/media/import/fotosweb/sophie_hulme/161/sophie_hulme_161-001_1.jpg;/media/import/fotosweb/sophie_hulme/161/sophie_hulme_161-001_2.jpg;<P>Leather Saddle bag featuring signature gold tone hardware, a flap closure, adjustable cross body strap and an inside slip pocket.</P><P>This item comes with a dust bag.</P>Height: 	13	cm<br/>Width: 	23	cm<br/>Depth: 	7	cm;SLOT 34952;;OS;;532.23;;;;;1;;;1;;;
