store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;3001BPCLCAPPUCCUNICACAPPUCCINO;;Habilitado;Not Visible Individually;116850;MOCHILA ASA ICONICA ;MOCHILA ASA ICONICA ;;;IVA AL 21%;2;4;5;;OI15C;BUSCEMI;UNICA;CAPPUCCINO;1168501;;;SEASONAL;152;3001BPCLCAPPUCC;;F;01/01/99;/media/import/fotosweb/buscemi/152/buscemi_152-010_0.jpg;;;ICONIC HANDLE BACKPACK ;100% Leather;Alto: 	43	cm<br/>Ancho: 	36	cm<br/>Fondo: 	14	cm;/media/import/fotosweb/buscemi/152/buscemi_152-010_1.jpg;/media/import/fotosweb/buscemi/152/buscemi_152-010_2.jpg;Height: 	43	cm<br/>Width: 	36	cm<br/>Depth: 	14	cm;;F;OS;4;2404.13;13/11/15;31/12/50;1683.47;.00;1;04/11/15;04/12/15;1;;;487810775
admin;base;1;configurable;Default;talla,color;2,4,5;3001BPCLCAPPUCC;3001BPCLCAPPUCCUNICACAPPUCCINO;Habilitado;Catálogo, Búsqueda;;MOCHILA ASA ICONICA ;MOCHILA ASA ICONICA ;;;IVA AL 21%;2;4;5;;OI15C;BUSCEMI;;;;;;SEASONAL;152;3001BPCLCAPPUCC;;;;/media/import/fotosweb/buscemi/152/buscemi_152-010_2.jpg;;;ICONIC HANDLE BACKPACK ;100% Leather;Alto: 	43	cm<br/>Ancho: 	36	cm<br/>Fondo: 	14	cm;/media/import/fotosweb/buscemi/152/buscemi_152-010_1.jpg;/media/import/fotosweb/buscemi/152/buscemi_152-010_2.jpg;Height: 	43	cm<br/>Width: 	36	cm<br/>Depth: 	14	cm;;;OS;;2404.13;13/11/15;31/12/50;1683.47;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,4,5;3001BPCLCAPPUCC;3001BPCLCAPPUCCUNICACAPPUCCINO;Habilitado;Catálogo, Búsqueda;;MOCHILA ASA ICONICA ;MOCHILA ASA ICONICA ;;;IVA AL 21%;2;4;5;;OI15C;BUSCEMI;;;;;;SEASONAL;152;3001BPCLCAPPUCC;;;;/media/import/fotosweb/buscemi/152/buscemi_152-010_1.jpg;;;ICONIC HANDLE BACKPACK ;100% Leather;Alto: 	43	cm<br/>Ancho: 	36	cm<br/>Fondo: 	14	cm;/media/import/fotosweb/buscemi/152/buscemi_152-010_1.jpg;/media/import/fotosweb/buscemi/152/buscemi_152-010_2.jpg;Height: 	43	cm<br/>Width: 	36	cm<br/>Depth: 	14	cm;;;OS;;2404.13;13/11/15;31/12/50;1683.47;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,4,5;3001BPCLCAPPUCC;3001BPCLCAPPUCCUNICACAPPUCCINO;Habilitado;Catálogo, Búsqueda;;MOCHILA ASA ICONICA ;MOCHILA ASA ICONICA ;;;IVA AL 21%;2;4;5;;OI15C;BUSCEMI;;;;;;SEASONAL;152;3001BPCLCAPPUCC;;;;/media/import/fotosweb/buscemi/152/buscemi_152-010_0.jpg;;;ICONIC HANDLE BACKPACK ;100% Leather;Alto: 	43	cm<br/>Ancho: 	36	cm<br/>Fondo: 	14	cm;/media/import/fotosweb/buscemi/152/buscemi_152-010_1.jpg;/media/import/fotosweb/buscemi/152/buscemi_152-010_2.jpg;Height: 	43	cm<br/>Width: 	36	cm<br/>Depth: 	14	cm;;;OS;;2404.13;13/11/15;31/12/50;1683.47;;1;;;1;;;
