store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;FW1512701COBALTUNICACOBALT;;Habilitado;Not Visible Individually;117286;BOLSO GUN;BOLSO GUN;;;IVA AL 21%;1;4;1;;OI15C;VLIEGER & VANDAM;UNICA;COBALT;1172861;;;SEASONAL;152;FW1512701COBALT;;F;01/01/99;/media/import/fotosweb/vlieger_vandam/152/vlieger_vandam_152-012_0.jpg;;;PURSE GUN;100% Calf Leather;Alto: 	18,5	cm<br/>Ancho: 	32,5	cm<br/>Fondo: 	0,5	cm;/media/import/fotosweb/vlieger_vandam/152/vlieger_vandam_152-012_1.jpg;/media/import/fotosweb/vlieger_vandam/152/vlieger_vandam_152-012_2.jpg;Height: 	18,5	cm<br/>Width: 	32,5	cm<br/>Depth: 	0,5	cm;SLOT 32955;F;STANDARD;4;206.61;13/11/15;31/12/50;144.63;.00;1;21/08/15;20/09/15;1;;;1560411763
admin;base;1;configurable;Default;talla,color;1,4,1;FW1512701COBALT;FW1512701COBALTUNICACOBALT;Habilitado;Catálogo, Búsqueda;;BOLSO GUN;BOLSO GUN;;;IVA AL 21%;1;4;1;;OI15C;VLIEGER & VANDAM;;;;;;SEASONAL;152;FW1512701COBALT;;;;/media/import/fotosweb/vlieger_vandam/152/vlieger_vandam_152-012_2.jpg;;;PURSE GUN;100% Calf Leather;Alto: 	18,5	cm<br/>Ancho: 	32,5	cm<br/>Fondo: 	0,5	cm;/media/import/fotosweb/vlieger_vandam/152/vlieger_vandam_152-012_1.jpg;/media/import/fotosweb/vlieger_vandam/152/vlieger_vandam_152-012_2.jpg;Height: 	18,5	cm<br/>Width: 	32,5	cm<br/>Depth: 	0,5	cm;SLOT 32955;;STANDARD;;206.61;13/11/15;31/12/50;144.63;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;FW1512701COBALT;FW1512701COBALTUNICACOBALT;Habilitado;Catálogo, Búsqueda;;BOLSO GUN;BOLSO GUN;;;IVA AL 21%;1;4;1;;OI15C;VLIEGER & VANDAM;;;;;;SEASONAL;152;FW1512701COBALT;;;;/media/import/fotosweb/vlieger_vandam/152/vlieger_vandam_152-012_1.jpg;;;PURSE GUN;100% Calf Leather;Alto: 	18,5	cm<br/>Ancho: 	32,5	cm<br/>Fondo: 	0,5	cm;/media/import/fotosweb/vlieger_vandam/152/vlieger_vandam_152-012_1.jpg;/media/import/fotosweb/vlieger_vandam/152/vlieger_vandam_152-012_2.jpg;Height: 	18,5	cm<br/>Width: 	32,5	cm<br/>Depth: 	0,5	cm;SLOT 32955;;STANDARD;;206.61;13/11/15;31/12/50;144.63;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;FW1512701COBALT;FW1512701COBALTUNICACOBALT;Habilitado;Catálogo, Búsqueda;;BOLSO GUN;BOLSO GUN;;;IVA AL 21%;1;4;1;;OI15C;VLIEGER & VANDAM;;;;;;SEASONAL;152;FW1512701COBALT;;;;/media/import/fotosweb/vlieger_vandam/152/vlieger_vandam_152-012_0.jpg;;;PURSE GUN;100% Calf Leather;Alto: 	18,5	cm<br/>Ancho: 	32,5	cm<br/>Fondo: 	0,5	cm;/media/import/fotosweb/vlieger_vandam/152/vlieger_vandam_152-012_1.jpg;/media/import/fotosweb/vlieger_vandam/152/vlieger_vandam_152-012_2.jpg;Height: 	18,5	cm<br/>Width: 	32,5	cm<br/>Depth: 	0,5	cm;SLOT 32955;;STANDARD;;206.61;13/11/15;31/12/50;144.63;;1;;;1;;;
