store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;CARMI104SILVERUNICASILVER;;Habilitado;Not Visible Individually;116530;CESTA MINI CAROLINE PLATA;CESTA MINI CAROLINE PLATA;;;IVA AL 21%;1;4;1;;OI15P;SAVAS ;UNICA;SILVER;1165301;;;;152;CARMI104SILVER;;F;01/01/99;/media/import/fotosweb/savas/152/savas_152-006_0.jpg;;;CAROLINE SILVER MINI BASKET BAG;49% Calf Leather, 44% Polyester, 5% Cotton, 2% Metal (Other);Alto: 	10	cm<br/>Ancho: 	17	cm<br/>Fondo: 	10	cm;/media/import/fotosweb/savas/152/savas_152-006_1.jpg;/media/import/fotosweb/savas/152/savas_152-006_2.jpg;Height: 	10	cm<br/>Width: 	17	cm<br/>Depth: 	10	cm;SLOT 32955;F;OS;4;694.21;;;;2.00;1;21/08/15;20/09/15;1;;;107804985
admin;base;1;configurable;Default;talla,color;1,4,1;CARMI104SILVER;CARMI104SILVERUNICASILVER;Habilitado;Catálogo, Búsqueda;;CESTA MINI CAROLINE PLATA;CESTA MINI CAROLINE PLATA;;;IVA AL 21%;1;4;1;;OI15P;SAVAS ;;;;;;;152;CARMI104SILVER;;;;/media/import/fotosweb/savas/152/savas_152-006_2.jpg;;;CAROLINE SILVER MINI BASKET BAG;49% Calf Leather, 44% Polyester, 5% Cotton, 2% Metal (Other);Alto: 	10	cm<br/>Ancho: 	17	cm<br/>Fondo: 	10	cm;/media/import/fotosweb/savas/152/savas_152-006_1.jpg;/media/import/fotosweb/savas/152/savas_152-006_2.jpg;Height: 	10	cm<br/>Width: 	17	cm<br/>Depth: 	10	cm;SLOT 32955;;OS;;694.21;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;CARMI104SILVER;CARMI104SILVERUNICASILVER;Habilitado;Catálogo, Búsqueda;;CESTA MINI CAROLINE PLATA;CESTA MINI CAROLINE PLATA;;;IVA AL 21%;1;4;1;;OI15P;SAVAS ;;;;;;;152;CARMI104SILVER;;;;/media/import/fotosweb/savas/152/savas_152-006_1.jpg;;;CAROLINE SILVER MINI BASKET BAG;49% Calf Leather, 44% Polyester, 5% Cotton, 2% Metal (Other);Alto: 	10	cm<br/>Ancho: 	17	cm<br/>Fondo: 	10	cm;/media/import/fotosweb/savas/152/savas_152-006_1.jpg;/media/import/fotosweb/savas/152/savas_152-006_2.jpg;Height: 	10	cm<br/>Width: 	17	cm<br/>Depth: 	10	cm;SLOT 32955;;OS;;694.21;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;CARMI104SILVER;CARMI104SILVERUNICASILVER;Habilitado;Catálogo, Búsqueda;;CESTA MINI CAROLINE PLATA;CESTA MINI CAROLINE PLATA;;;IVA AL 21%;1;4;1;;OI15P;SAVAS ;;;;;;;152;CARMI104SILVER;;;;/media/import/fotosweb/savas/152/savas_152-006_0.jpg;;;CAROLINE SILVER MINI BASKET BAG;49% Calf Leather, 44% Polyester, 5% Cotton, 2% Metal (Other);Alto: 	10	cm<br/>Ancho: 	17	cm<br/>Fondo: 	10	cm;/media/import/fotosweb/savas/152/savas_152-006_1.jpg;/media/import/fotosweb/savas/152/savas_152-006_2.jpg;Height: 	10	cm<br/>Width: 	17	cm<br/>Depth: 	10	cm;SLOT 32955;;OS;;694.21;;;;;1;;;1;;;
