store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;F565SF215F23MUUNICAMULTICOLOR;;Habilitado;Not Visible Individually;116979;MESSENGER FLYING OJO;MESSENGER FLYING OJO;;;IVA AL 21%;2;4;4;;OI15C;KENZO;UNICA;MULTICOLOR;1169791;;;SEASONAL;152;F565SF215F23MU;;F;01/01/99;/media/import/fotosweb/kenzo/152/kenzo_152-084_0.jpg;;;FLYING EYE MESSENGER BAG;100% Nylon;Alto: 	28	cm<br/>Ancho: 	35	cm<br/>Fondo: 	15	cm;/media/import/fotosweb/kenzo/152/kenzo_152-084_1.jpg;/media/import/fotosweb/kenzo/152/kenzo_152-084_2.jpg;Height: 	28	cm<br/>Width: 	35	cm<br/>Depth: 	15	cm;SLOT 32958;F;OS;4;318.18;13/11/15;31/12/50;223.14;.00;1;08/09/15;08/10/15;1;;;202761533
admin;base;1;configurable;Default;talla,color;2,4,4;F565SF215F23MU;F565SF215F23MUUNICAMULTICOLOR;Habilitado;Catálogo, Búsqueda;;MESSENGER FLYING OJO;MESSENGER FLYING OJO;;;IVA AL 21%;2;4;4;;OI15C;KENZO;;;;;;SEASONAL;152;F565SF215F23MU;;;;/media/import/fotosweb/kenzo/152/kenzo_152-084_2.jpg;;;FLYING EYE MESSENGER BAG;100% Nylon;Alto: 	28	cm<br/>Ancho: 	35	cm<br/>Fondo: 	15	cm;/media/import/fotosweb/kenzo/152/kenzo_152-084_1.jpg;/media/import/fotosweb/kenzo/152/kenzo_152-084_2.jpg;Height: 	28	cm<br/>Width: 	35	cm<br/>Depth: 	15	cm;SLOT 32958;;OS;;318.18;13/11/15;31/12/50;223.14;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,4,4;F565SF215F23MU;F565SF215F23MUUNICAMULTICOLOR;Habilitado;Catálogo, Búsqueda;;MESSENGER FLYING OJO;MESSENGER FLYING OJO;;;IVA AL 21%;2;4;4;;OI15C;KENZO;;;;;;SEASONAL;152;F565SF215F23MU;;;;/media/import/fotosweb/kenzo/152/kenzo_152-084_1.jpg;;;FLYING EYE MESSENGER BAG;100% Nylon;Alto: 	28	cm<br/>Ancho: 	35	cm<br/>Fondo: 	15	cm;/media/import/fotosweb/kenzo/152/kenzo_152-084_1.jpg;/media/import/fotosweb/kenzo/152/kenzo_152-084_2.jpg;Height: 	28	cm<br/>Width: 	35	cm<br/>Depth: 	15	cm;SLOT 32958;;OS;;318.18;13/11/15;31/12/50;223.14;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,4,4;F565SF215F23MU;F565SF215F23MUUNICAMULTICOLOR;Habilitado;Catálogo, Búsqueda;;MESSENGER FLYING OJO;MESSENGER FLYING OJO;;;IVA AL 21%;2;4;4;;OI15C;KENZO;;;;;;SEASONAL;152;F565SF215F23MU;;;;/media/import/fotosweb/kenzo/152/kenzo_152-084_0.jpg;;;FLYING EYE MESSENGER BAG;100% Nylon;Alto: 	28	cm<br/>Ancho: 	35	cm<br/>Fondo: 	15	cm;/media/import/fotosweb/kenzo/152/kenzo_152-084_1.jpg;/media/import/fotosweb/kenzo/152/kenzo_152-084_2.jpg;Height: 	28	cm<br/>Width: 	35	cm<br/>Depth: 	15	cm;SLOT 32958;;OS;;318.18;13/11/15;31/12/50;223.14;;1;;;1;;;
